drug_id,especie,semilla,n_semilla
474025,0,nula,0
474558,0,nula,0
474689,0,no informativa,4
475290,0,no informativa,44
476992,0,nula,0
477470,0,no informativa,2
478194,0,nula,0
478357,0,nula,0
480469,0,nula,0
480731,0,nula,0
481605,0,nula,0
481968,0,nula,0
483191,0,no informativa,19
484051,0,nula,0
486001,0,no informativa,2
486903,0,nula,0
488593,0,nula,0
489246,0,nula,0
489915,0,nula,0
490449,0,nula,0
490588,0,no informativa,21
491062,0,no informativa,14
492393,0,nula,0
493026,0,nula,0
493509,0,no informativa,2
493583,0,nula,0
493639,0,no informativa,3
494049,0,nula,0
494577,0,nula,0
495789,0,no informativa,14
496067,0,nula,0
496265,0,nula,0
496566,0,no informativa,2
498687,0,no informativa,13
499618,0,no informativa,4
501141,0,nula,0
501445,0,nula,0
503876,0,no informativa,3
504071,0,nula,0
506146,0,nula,0
506336,0,nula,0
506647,0,nula,0
508022,0,nula,0
509256,0,nula,0
510083,0,no informativa,2
510436,0,nula,0
511468,0,no informativa,7
511585,0,nula,0
514874,0,no informativa,1458
515464,0,nula,0
516089,0,nula,0
516353,0,nula,0
518080,0,no informativa,2
518153,0,nula,0
518507,0,nula,0
519068,0,nula,0
519443,0,nula,0
519563,0,nula,0
519889,0,nula,0
520126,0,no informativa,4
521210,0,no informativa,12
521369,0,nula,0
521376,0,nula,0
521726,0,nula,0
522162,0,nula,0
522223,0,nula,0
522573,0,nula,0
522979,0,nula,0
523345,0,no informativa,4
524502,0,nula,0
525424,0,nula,0
526795,0,nula,0
527154,0,no informativa,6
527385,0,nula,0
528791,0,no informativa,4
529593,0,nula,0
531357,0,nula,0
531431,0,nula,0
532188,0,nula,0
532573,0,no informativa,6
534722,0,nula,0
537160,0,no informativa,3
537326,0,informativa,5
538617,0,no informativa,4
539168,0,nula,0
541407,0,no informativa,6
542822,0,nula,0
543670,0,nula,0
543867,0,nula,0
544039,0,nula,0
544491,0,no informativa,7
545038,0,nula,0
545141,0,nula,0
546160,0,nula,0
548195,0,nula,0
548274,0,nula,0
548305,0,nula,0
551137,0,no informativa,6
553051,0,informativa,79
553806,0,no informativa,7
554588,0,nula,0
554604,0,no informativa,2
555131,0,nula,0
555643,0,nula,0
557479,0,no informativa,9
558658,0,no informativa,2
559234,0,nula,0
559548,0,nula,0
559779,0,nula,0
561362,0,nula,0
562090,0,nula,0
562738,0,nula,0
563010,0,nula,0
563890,0,nula,0
564369,0,nula,0
567570,0,no informativa,7
567658,0,nula,0
569129,0,nula,0
569138,0,no informativa,8
572067,0,nula,0
572210,0,nula,0
572321,0,nula,0
572360,0,nula,0
572684,0,no informativa,2
572812,0,nula,0
573207,0,nula,0
573369,0,nula,0
573571,0,nula,0
574150,0,no informativa,376
575023,0,no informativa,8
575930,0,nula,0
579327,0,no informativa,7
582167,0,nula,0
582576,0,nula,0
582936,0,no informativa,3
586286,0,no informativa,17
590231,0,nula,0
590298,0,nula,0
591905,0,nula,0
591912,0,no informativa,2
592236,0,nula,0
593038,0,nula,0
594027,0,nula,0
594260,0,nula,0
594496,0,no informativa,5
594796,0,nula,0
596127,0,no informativa,16
598489,0,nula,0
599649,0,nula,0
601015,0,nula,0
603364,0,nula,0
607135,0,nula,0
607941,0,no informativa,23
609339,0,nula,0
609507,0,nula,0
609537,0,nula,0
610313,0,nula,0
611164,0,nula,0
614095,0,nula,0
614601,0,nula,0
615878,0,nula,0
615935,0,no informativa,2
616004,0,nula,0
617065,0,nula,0
618089,0,nula,0
619157,0,no informativa,6
619548,0,nula,0
620154,0,nula,0
620284,0,no informativa,3
621297,0,nula,0
621848,0,no informativa,5
622001,0,nula,0
623664,0,no informativa,2
624188,0,nula,0
624251,0,no informativa,4
626228,0,nula,0
626476,0,nula,0
626691,0,nula,0
627187,0,nula,0
630931,0,nula,0
631338,0,nula,0
