posicion,n,frac_acumulada
2289,1,0.30734323432343236
2290,2,0.30816831683168316
2293,1,0.3085808580858086
2298,1,0.30899339933993397
2299,1,0.3094059405940594
2303,1,0.30981848184818483
2305,1,0.3102310231023102
2326,12,0.31518151815181517
2327,8,0.3184818481848185
2328,6,0.320957095709571
2329,4,0.3226072607260726
2330,2,0.3234323432343234
2331,2,0.32425742574257427
2332,6,0.32673267326732675
2333,2,0.32755775577557755
2334,1,0.327970297029703
2335,3,0.3292079207920792
2336,3,0.33044554455445546
2337,3,0.3316831683168317
2338,3,0.33292079207920794
2339,3,0.3341584158415842
2341,1,0.33457095709570955
2344,1,0.334983498349835
2347,2,0.3358085808580858
2348,2,0.33663366336633666
2350,2,0.33745874587458746
2352,2,0.33828382838283827
2353,2,0.33910891089108913
2356,1,0.3395214521452145
2357,1,0.33993399339933994
2361,1,0.34034653465346537
2370,1,0.34075907590759075
2378,1,0.3411716171617162
2384,1,0.3415841584158416
2410,1,0.341996699669967
2418,1,0.3424092409240924
2420,1,0.34282178217821785
2421,1,0.3432343234323432
2436,1,0.34364686468646866
2441,1,0.34405940594059403
2444,1,0.34447194719471946
2461,1,0.3448844884488449
2472,1,0.34529702970297027
2748,46,0.3642739273927393
2749,12,0.36922442244224424
2750,5,0.3712871287128713
2751,10,0.37541254125412543
2752,4,0.37706270627062705
2753,5,0.37912541254125415
2754,6,0.3816006600660066
2755,4,0.38325082508250824
2756,20,0.3915016501650165
2757,6,0.39397689768976896
2758,2,0.3948019801980198
2759,3,0.39603960396039606
2760,5,0.3981023102310231
2761,6,0.4005775577557756
2762,5,0.40264026402640263
2763,3,0.40387788778877887
2764,5,0.40594059405940597
2765,5,0.408003300330033
2766,1,0.4084158415841584
2769,1,0.4088283828382838
2771,2,0.40965346534653463
2773,1,0.41006600660066006
2776,1,0.4104785478547855
2778,1,0.41089108910891087
2781,8,0.4141914191419142
2782,7,0.41707920792079206
2783,10,0.4212046204620462
2784,5,0.42326732673267325
2785,1,0.4236798679867987
2786,1,0.4240924092409241
2787,1,0.4245049504950495
2788,3,0.42574257425742573
2789,2,0.4265676567656766
2790,7,0.42945544554455445
2791,3,0.4306930693069307
2792,5,0.43275577557755773
2793,1,0.43316831683168316
2796,1,0.4335808580858086
2797,1,0.43399339933993397
2798,3,0.4352310231023102
2799,6,0.4377062706270627
2800,4,0.43935643564356436
2801,1,0.4397689768976898
2802,1,0.44018151815181517
2805,1,0.4405940594059406
2806,3,0.44183168316831684
2807,1,0.44224422442244227
2808,1,0.44265676567656764
2809,2,0.4434818481848185
2813,1,0.4438943894389439
2814,1,0.4443069306930693
2815,1,0.44471947194719474
2816,2,0.44554455445544555
2819,1,0.445957095709571
2821,1,0.44636963696369636
2825,1,0.4467821782178218
2827,1,0.4471947194719472
2829,1,0.4476072607260726
2835,1,0.44801980198019803
2836,1,0.4484323432343234
2838,1,0.44884488448844884
2841,1,0.44925742574257427
2847,1,0.44966996699669964
2858,1,0.4500825082508251
2859,1,0.4504950495049505
2860,2,0.4513201320132013
2875,2,0.4521452145214521
3020,3,0.45338283828382836
3021,1,0.4537953795379538
3022,1,0.4542079207920792
3023,1,0.4546204620462046
3024,2,0.45544554455445546
3025,1,0.45585808580858084
3029,2,0.4566831683168317
3030,1,0.4570957095709571
3033,2,0.45792079207920794
3034,2,0.45874587458745875
3035,1,0.4591584158415842
3037,2,0.459983498349835
3039,1,0.4603960396039604
3044,1,0.4608085808580858
3047,36,0.47566006600660066
3048,16,0.4822607260726073
3049,15,0.4884488448844885
3050,6,0.4909240924092409
3051,5,0.492986798679868
3052,3,0.49422442244224424
3053,3,0.4954620462046205
3054,2,0.4962871287128713
3055,1,0.4966996699669967
3056,10,0.5008250825082509
3057,8,0.5041254125412541
3058,4,0.5057755775577558
3059,4,0.5074257425742574
3060,1,0.5078382838283828
3061,7,0.5107260726072608
3062,7,0.5136138613861386
3063,4,0.5152640264026402
3064,2,0.5160891089108911
3065,6,0.5185643564356436
3066,1,0.518976897689769
3068,1,0.5193894389438944
3069,2,0.5202145214521452
3070,6,0.5226897689768977
3071,4,0.5243399339933993
3072,1,0.5247524752475248
3073,5,0.5268151815181518
3074,2,0.5276402640264026
3075,1,0.528052805280528
3076,3,0.5292904290429042
3078,1,0.5297029702970297
3080,2,0.5305280528052805
3081,1,0.530940594059406
3082,1,0.5313531353135313
3083,2,0.5321782178217822
3084,1,0.5325907590759076
3085,1,0.533003300330033
3087,2,0.5338283828382838
3088,4,0.5354785478547854
3089,9,0.5391914191419142
3090,11,0.5437293729372937
3091,5,0.5457920792079208
3092,1,0.5462046204620462
3094,2,0.5470297029702971
3095,4,0.5486798679867987
3097,2,0.5495049504950495
3098,5,0.5515676567656765
3099,3,0.5528052805280528
3101,1,0.5532178217821783
3102,5,0.5552805280528053
3104,1,0.5556930693069307
3105,3,0.556930693069307
3106,5,0.558993399339934
3107,1,0.5594059405940595
3110,2,0.5602310231023102
3111,4,0.5618811881188119
3112,2,0.5627062706270627
3113,3,0.5639438943894389
3115,1,0.5643564356435643
3116,1,0.5647689768976898
