drug_id,sp_id,N,drug,cluster_id,enlace_a_bioact,multiespecie,grupo
7474,3,1,7474,576153,False,False,0
7495,3,1,7495,306980,True,False,1
7519,3,1,7519,34803,True,False,1
7534,3,1,7534,148748,False,False,0
7542,3,1,7542,739833,True,False,1
7550,26,1,7550,706816,True,False,1
7557,3,1,7557,206242,False,False,0
7570,3,1,7570,264105,False,True,2
7580,3,1,7580,577896,False,False,0
7604,3,1,7604,271764,False,False,0
7609,3,1,7609,651941,False,False,0
7612,3,1,7612,473050,True,False,1
7616,3,1,7616,220222,True,True,3
7621,3,1,7621,409052,True,True,3
7634,3,1,7634,204076,False,True,2
7666,3,1,7666,589380,True,False,1
7690,3,1,7690,195082,True,False,1
7693,0,1,7693,585988,False,False,0
7717,3,1,7717,649131,True,False,1
7719,3,1,7719,256851,True,True,3
7733,3,1,7733,445158,False,False,0
7735,3,1,7735,703661,True,True,3
7755,3,1,7755,181712,False,False,0
7759,3,1,7759,738786,True,False,1
7767,3,1,7767,571767,False,False,0
7788,3,1,7788,586063,True,False,1
7796,3,1,7796,663917,True,False,1
7797,3,1,7797,175644,False,False,0
7801,3,1,7801,705252,False,True,2
7808,3,1,7808,614163,False,True,2
7808,27,1,7808,614163,False,True,2
7809,3,1,7809,664554,True,False,1
7814,3,1,7814,273519,True,False,1
7828,3,1,7828,228282,False,False,0
7845,15,1,7845,500559,True,False,1
7874,3,1,7874,379612,False,False,0
7886,3,1,7886,370362,True,False,1
7897,3,1,7897,283660,True,False,1
7907,3,1,7907,205208,False,False,0
7913,18,1,7913,178005,True,True,3
7914,3,1,7914,532176,False,False,0
7926,3,1,7926,452172,False,False,0
7932,3,1,7932,531551,True,True,3
7950,3,1,7950,465182,False,False,0
7952,3,1,7952,608448,True,False,1
7970,3,1,7970,431901,True,False,1
7972,3,1,7972,308442,False,False,0
7984,3,1,7984,318318,True,True,3
8015,3,1,8015,7793,False,False,0
8020,3,1,8020,213588,False,False,0
8025,3,1,8025,211641,False,False,0
8035,3,1,8035,409871,True,False,1
8079,3,1,8079,75580,True,False,1
8102,0,1,8102,682373,False,True,2
8131,3,1,8131,561139,False,False,0
8158,28,1,8158,33301,False,False,0
8171,3,1,8171,75202,True,False,1
8175,3,1,8175,315134,True,True,3
8201,3,1,8201,79689,True,False,1
8225,18,1,8225,86512,False,True,2
8241,3,1,8241,654014,True,False,1
8306,3,1,8306,436894,False,False,0
8332,1,1,8332,269075,True,False,1
8348,0,1,8348,336224,False,False,0
8361,3,1,8361,355752,False,False,0
8364,3,1,8364,431854,False,True,2
8373,3,1,8373,447343,False,False,0
8409,3,1,8409,611790,False,False,0
8429,3,1,8429,95048,True,False,1
8430,3,1,8430,283165,False,False,0
8445,3,1,8445,396197,True,False,1
8446,3,1,8446,589662,False,True,2
8453,3,1,8453,559492,True,False,1
8455,3,1,8455,675106,False,False,0
8473,3,1,8473,75910,True,False,1
8493,3,1,8493,59612,True,False,1
8503,3,1,8503,320510,False,True,2
8506,18,1,8506,87807,False,True,2
8517,21,1,8517,379773,False,False,0
8521,3,1,8521,351608,False,False,0
8525,3,1,8525,463334,False,False,0
8527,3,1,8527,409407,False,False,0
8574,3,1,8574,254068,False,True,2
8593,3,1,8593,558512,True,True,3
8604,10,1,8604,159324,True,False,1
8627,3,1,8627,629146,False,True,2
8627,10,1,8627,629146,False,True,2
8633,3,1,8633,555334,False,True,2
8637,3,1,8637,237043,True,False,1
8641,0,1,8641,429944,False,True,2
8641,27,1,8641,429944,False,True,2
8671,3,1,8671,689045,False,True,2
8691,3,1,8691,335681,False,False,0
8704,3,1,8704,174542,True,True,3
8747,26,1,8747,690996,False,False,0
8753,3,1,8753,387421,True,True,3
8761,3,1,8761,79605,False,True,2
8762,3,1,8762,543774,False,True,2
8778,3,1,8778,749572,False,False,0
8784,1,1,8784,393510,False,False,0
8790,3,1,8790,327921,True,False,1
8798,3,1,8798,372330,False,True,2
8799,3,1,8799,596528,False,False,0
8809,3,1,8809,603114,False,False,0
8829,3,1,8829,200911,False,True,2
8835,3,1,8835,248619,True,False,1
8845,3,1,8845,365572,True,False,1
8859,3,1,8859,499848,True,False,1
8864,3,1,8864,377441,False,True,2
8870,3,1,8870,590050,True,False,1
8886,3,1,8886,52285,True,False,1
8901,3,1,8901,36387,True,True,3
8909,3,1,8909,144954,True,True,3
8920,3,1,8920,398994,False,True,2
8922,3,1,8922,113086,False,True,2
8922,18,1,8922,113086,False,True,2
8935,3,1,8935,33499,True,False,1
8937,3,1,8937,409401,False,False,0
8938,3,1,8938,443772,False,False,0
8941,3,1,8941,83235,True,False,1
9001,3,1,9001,330140,True,False,1
9006,3,1,9006,522606,True,True,3
9026,3,1,9026,436563,False,True,2
9042,3,1,9042,323899,True,False,1
9072,3,1,9072,195653,True,False,1
9074,3,1,9074,322260,False,False,0
9082,3,1,9082,328837,False,False,0
9090,26,1,9090,738990,True,True,3
9115,3,1,9115,590099,False,False,0
9119,3,1,9119,104805,False,False,0
9151,3,1,9151,582777,True,True,3
9152,3,1,9152,639192,False,False,0
9155,3,1,9155,30137,True,True,3
9156,3,1,9156,181689,False,False,0
9180,3,1,9180,670815,False,False,0
9182,3,1,9182,748484,False,True,2
9182,27,1,9182,748484,False,True,2
9195,3,1,9195,98163,False,False,0
9204,3,1,9204,231901,True,True,3
9207,3,1,9207,660127,False,False,0
9239,3,1,9239,316702,True,True,3
9239,27,1,9239,316702,True,True,3
9279,3,1,9279,495768,True,True,3
9299,3,1,9299,244540,False,False,0
9304,3,1,9304,506378,False,True,2
9309,18,1,9309,416409,False,False,0
9312,27,1,9312,234178,False,True,2
9328,3,1,9328,240386,False,False,0
9338,3,1,9338,131617,True,False,1
9370,3,1,9370,250327,True,False,1
9372,3,1,9372,225475,False,False,0
9424,3,1,9424,180387,False,False,0
9448,3,1,9448,99066,True,False,1
9493,3,1,9493,668509,False,False,0
9501,3,1,9501,409053,False,False,0
9504,3,1,9504,368317,False,True,2
9504,21,1,9504,368317,False,True,2
9551,3,1,9551,102238,False,False,0
9556,3,1,9556,284535,False,True,2
9569,3,1,9569,243532,True,True,3
9583,1,1,9583,172823,True,True,3
9583,27,1,9583,172823,True,True,3
9588,3,1,9588,98482,True,True,3
9599,18,1,9599,461945,False,False,0
9600,3,1,9600,665097,True,False,1
9608,3,1,9608,264905,True,False,1
9622,18,1,9622,104313,False,True,2
9644,3,1,9644,169878,True,True,3
9654,3,1,9654,257857,True,True,3
9680,3,1,9680,534438,False,False,0
9704,3,1,9704,546034,True,True,3
9712,3,1,9712,76099,False,False,0
9713,3,1,9713,151121,True,False,1
9714,3,1,9714,167498,True,False,1
9725,3,1,9725,677065,False,False,0
9749,3,1,9749,445973,False,True,2
9778,3,1,9778,33354,False,False,0
9840,3,1,9840,394278,False,False,0
9842,3,1,9842,679487,True,False,1
9857,0,1,9857,307081,False,False,0
9868,3,1,9868,595936,False,True,2
9876,3,1,9876,141490,False,False,0
9883,27,1,9883,31973,True,True,3
9890,3,1,9890,679053,False,False,0
9904,3,1,9904,508467,True,False,1
9924,3,1,9924,316703,False,False,0
9934,3,1,9934,211095,True,False,1
9945,10,1,9945,515030,True,False,1
9954,3,1,9954,225232,True,True,3
9962,3,1,9962,730733,False,True,2
9966,3,1,9966,178535,False,False,0
9969,3,1,9969,230839,False,True,2
10015,3,1,10015,750783,False,True,2
10017,3,1,10017,123108,False,False,0
10036,3,1,10036,251239,False,False,0
10041,3,1,10041,48697,False,False,0
10049,3,1,10049,678982,False,True,2
10050,26,1,10050,658020,True,False,1
10056,3,1,10056,337355,True,True,3
10059,3,1,10059,767608,False,False,0
10060,3,1,10060,132615,True,False,1
10062,3,1,10062,463720,False,False,0
10065,3,1,10065,412219,True,True,3
10103,3,1,10103,231813,False,False,0
10111,3,1,10111,412702,False,True,2
10114,3,1,10114,161941,True,True,3
10123,3,1,10123,533708,False,False,0
10146,3,1,10146,729399,True,False,1
10190,3,1,10190,230715,True,False,1
10238,27,1,10238,359965,False,True,2
10286,3,1,10286,91456,True,False,1
10306,3,1,10306,325343,False,False,0
10310,3,1,10310,443109,True,True,3
10310,26,1,10310,443109,True,True,3
10318,3,1,10318,312249,False,False,0
10332,3,1,10332,698505,False,False,0
10359,3,1,10359,379967,True,False,1
