drug_id,especie,grupo,palanca,parametro,semilla_antes,semilla_despues,rescatada
620444,26,3,umbral,0.9,nula,nula,False
621297,0,0,umbral,0.9,nula,nula,False
622001,0,0,umbral,0.9,nula,nula,False
622492,10,2,umbral,0.9,nula,nula,False
622544,10,2,umbral,0.9,nula,nula,False
624052,9,2,umbral,0.9,nula,nula,False
625898,3,0,umbral,0.9,nula,nula,False
626832,10,2,umbral,0.9,nula,nula,False
628753,1,0,umbral,0.9,nula,nula,False
628887,22,2,umbral,0.9,nula,nula,False
630329,18,3,umbral,0.9,nula,nula,False
630931,0,1,umbral,0.9,nula,nula,False
631996,18,0,umbral,0.9,nula,nula,False
638556,10,0,umbral,0.9,nula,nula,False
641340,10,2,umbral,0.9,nula,nula,False
643274,0,2,umbral,0.9,nula,nula,False
646728,17,2,umbral,0.9,nula,nula,False
649984,26,2,umbral,0.9,nula,nula,False
653534,18,1,umbral,0.9,nula,nula,False
654475,3,0,umbral,0.9,nula,nula,False
654559,10,2,umbral,0.9,nula,nula,False
655214,9,2,umbral,0.9,nula,nula,False
656902,26,2,umbral,0.9,nula,nula,False
660615,23,1,umbral,0.9,nula,nula,False
661733,1,2,umbral,0.9,nula,nula,False
664980,1,2,umbral,0.9,nula,nula,False
671391,9,3,umbral,0.9,informativa,informativa,False
674528,10,2,umbral,0.9,nula,nula,False
675711,18,2,umbral,0.9,nula,nula,False
677197,1,0,umbral,0.9,nula,nula,False
677433,3,1,umbral,0.9,nula,nula,False
680231,1,0,umbral,0.9,nula,nula,False
681057,10,1,umbral,0.9,nula,nula,False
682032,26,2,umbral,0.9,nula,nula,False
682416,26,0,umbral,0.9,nula,nula,False
685615,26,1,umbral,0.9,nula,nula,False
686415,1,1,umbral,0.9,nula,nula,False
690274,10,0,umbral,0.9,nula,nula,False
692561,15,3,umbral,0.9,nula,nula,False
693482,18,0,umbral,0.9,nula,nula,False
694409,0,2,umbral,0.9,nula,nula,False
694886,18,1,umbral,0.9,nula,nula,False
695232,3,1,umbral,0.9,nula,nula,False
695561,3,3,umbral,0.9,nula,nula,False
696346,1,2,umbral,0.9,nula,nula,False
696394,26,3,umbral,0.9,nula,nula,False
697363,9,2,umbral,0.9,nula,nula,False
697516,23,0,umbral,0.9,no informativa,no informativa,False
698555,3,0,umbral,0.9,nula,nula,False
699038,1,0,umbral,0.9,nula,nula,False
700144,26,0,umbral,0.9,nula,nula,False
701725,26,2,umbral,0.9,nula,nula,False
702369,10,0,umbral,0.9,nula,nula,False
702614,0,2,umbral,0.9,nula,nula,False
706006,10,3,umbral,0.9,nula,nula,False
707833,21,3,umbral,0.9,nula,nula,False
712594,0,0,umbral,0.9,nula,nula,False
712988,0,0,umbral,0.9,no informativa,no informativa,False
721868,3,2,umbral,0.9,nula,nula,False
724241,17,3,umbral,0.9,nula,nula,False
724241,21,3,umbral,0.9,nula,nula,False
727264,10,1,umbral,0.9,nula,nula,False
728508,17,0,umbral,0.9,nula,nula,False
730415,9,1,umbral,0.9,nula,nula,False
731939,1,2,umbral,0.9,nula,nula,False
737010,21,2,umbral,0.9,no informativa,no informativa,False
