target_id,ann
326559,17982
346382,59736
84206,52227
229871,28441
311703,32551
315911,73605
274750,14991
49761,58819
179144,56326
365513,28957
180921,51879
102312,30836
295217,74263
306529,13523
290127,2739
291349,8847
344459,8046
250071,63230
84764,44075
102737,32551
274419,27635
312553,45972
119818,19947
330468,53362
356134,63304
349455,28696
158353,69217
190857,21205
299124,67297
48649,54553
112187,4484
357261,71524
258197,57164
42265,34634
359740,52105
219058,51531
225714,17206
318623,30093
191203,15625
173198,54968
362238,34939
265602,13797
111670,11505
397612,43068
176219,454
126527,22846
209383,24577
323056,20642
355700,15015
122304,11939
268445,29862
92878,62203
379844,38402
117382,75514
385419,49540
138021,64507
302518,53216
261726,23253
158398,54889
144838,66767
213500,52387
309006,17089
350914,61915
137427,51848
380405,7682
268275,56870
255569,17869
360212,29330
122861,71155
266896,47535
6059,25590
216729,67252
250363,18483
198825,14659
70842,30314
347521,1775
158945,29780
65987,34277
215039,74322
51995,1987
336015,21912
368341,2118
298027,18461
227414,56635
170979,1250
338098,71716
327612,48096
239843,27602
55210,28857
351994,74805
290010,45045
306491,31990
20707,31990
9894,61643
367972,49057
295234,12632
126635,14356
239433,11062
380142,72192
351649,15096
98860,72265
223155,68560
351425,74793
370631,7417
325023,38643
291826,29747
21454,36643
296168,75485
136817,9924
208022,22107
203708,73219
176323,7600
352111,57533
190340,42283
139671,13544
354147,64359
97473,11866
141637,30483
255481,63053
178571,24388
268170,17478
383643,67186
293057,30683
230571,17252
195603,65111
388968,70626
73739,50348
254280,29824
390393,70310
160376,30248
1798,43890
381735,31072
395080,29791
47009,36335
202864,27253
313599,6881
111994,30706
277342,42504
163557,52630
397743,51979
248655,6746
15043,53325
64562,27331
339230,9301
149366,11854
91319,41645
8746,58371
118005,33113
241620,72950
64164,48917
119302,48096
388847,24823
169397,45009
227185,38077
41955,53745
287690,51375
263835,53216
52850,51591
103835,28412
45353,56326
49144,2211
107531,73668
335666,64114
125965,65477
13846,50388
183220,8873
312252,44763
287211,67300
236221,61709
212101,69954
89709,18693
176659,5340
381539,24601
92302,10724
152571,44313
329932,18834
64137,13687
132474,23419
217394,18461
223891,44026
206144,15575
249359,18757
228788,26690
147063,56922
254668,42823
150016,19487
315126,72606
102265,39876
242066,34732
22351,65471
40294,27220
333931,75836
25604,36760
353793,57887
197780,57443
116075,8806
187251,41170
66386,73166
67452,62283
10146,47860
57567,8526
79365,33636
147475,648
18367,67222
134526,1048
227824,9889
338180,63962
127288,9301
370813,29351
362241,35099
257443,21822
268921,16172
234779,69473
