drug,cluster_id
769569,445625
519405,445625
399210,445625
98974,445625
742751,445625
491579,445625
51152,445625
532010,445625
85326,445625
390990,445625
430915,445625
825193,445625
187705,445625
532799,587578
662669,587578
21023,587578
787405,587578
322337,587578
549461,587578
424223,587578
111366,587578
58199,587578
824247,587578
324110,587578
396621,587578
16961,587578
243266,587578
765709,587578
509349,587578
107836,574161
452086,574161
219210,574161
619892,574161
746494,574161
812252,574161
801217,574161
331565,574161
56420,574161
6776,574161
550778,574161
719419,574161
804361,574161
71456,574161
143987,574161
109576,574161
219104,597044
598423,597044
594207,597044
679038,597044
400612,597044
528331,597044
620788,597044
151948,597044
762654,597044
149541,597044
165555,597044
352455,597044
339129,597044
65153,597044
453863,597044
411408,597044
274885,158268
579087,158268
827087,158268
734748,158268
724023,158268
381222,158268
464450,158268
507731,158268
323646,158268
214718,158268
770856,158268
259822,158268
572080,158268
436161,158268
70346,158268
4087,644842
404760,644842
111405,644842
182214,644842
663974,644842
613234,644842
646820,644842
176633,644842
269784,644842
795714,644842
26741,644842
781942,644842
209238,644842
94577,644842
494259,644842
798199,146437
640723,146437
750515,146437
620898,146437
213942,146437
72840,146437
270466,146437
421494,146437
553694,146437
58694,146437
539934,146437
217532,146437
503788,146437
560073,146437
39588,146437
76583,204394
22121,204394
681547,204394
5826,204394
548241,204394
515535,204394
272501,204394
802418,204394
8840,204394
605062,204394
168330,204394
664898,204394
156148,204394
764824,204394
745620,204394
491570,724411
587145,724411
711016,724411
498314,724411
724690,724411
76639,724411
734120,724411
473240,724411
359808,724411
6278,724411
825406,724411
223646,724411
207566,724411
769659,724411
662450,724411
676683,298442
523432,298442
800896,298442
597204,298442
664439,298442
179955,298442
60574,298442
819682,298442
538193,298442
781991,298442
698500,298442
203624,298442
674256,298442
274229,298442
16395,298442
156453,186382
120459,186382
745472,186382
252953,186382
612675,186382
363636,186382
64851,186382
461852,186382
397598,186382
87709,186382
298725,186382
742818,186382
233159,186382
802172,186382
274323,186382
752964,750357
57317,750357
673260,750357
396839,750357
419500,750357
704507,750357
485761,750357
739145,750357
484286,750357
346981,750357
286015,750357
38442,750357
503946,750357
150849,750357
619312,736504
27405,736504
84073,736504
719972,736504
379154,736504
606692,736504
613733,736504
496082,736504
725775,736504
233974,736504
798915,736504
16100,736504
321976,736504
136188,736504
757221,749627
121162,749627
236244,749627
590164,749627
40295,749627
307495,749627
274223,749627
239122,749627
161971,749627
283754,749627
590098,749627
657411,749627
306560,749627
799809,749627
642925,422731
761616,422731
58952,422731
242541,422731
526700,422731
343625,422731
132432,422731
606476,422731
230561,422731
316113,422731
205744,422731
308005,422731
27989,422731
402845,422731
533309,85826
427470,85826
544871,398858
357891,398858
224771,398858
192745,398858
51575,398858
325136,398858
673746,398858
550650,398858
337809,398858
248603,398858
565632,398858
38583,398858
328277,398858
440604,398858
238461,342117
298539,342117
787993,342117
11184,342117
636820,342117
740388,342117
223854,342117
816724,342117
68940,342117
180004,342117
108070,342117
511255,342117
677065,342117
635184,342117
328967,368870
37905,368870
698929,368870
297111,368870
333158,368870
722583,368870
586101,368870
721216,368870
689139,368870
179460,368870
736270,368870
809050,368870
320324,368870
174948,368870
271302,28149
529769,28149
272804,28149
798855,28149
513569,28149
805377,28149
76261,28149
113884,28149
284122,28149
522475,28149
452244,28149
710305,28149
694662,28149
303360,28149
380752,624611
492468,624611
276626,624611
576332,624611
572795,624611
411556,624611
821850,624611
553757,624611
548329,624611
681035,624611
446855,624611
141223,624611
63058,624611
695844,472688
355421,472688
628424,472688
556992,472688
132944,472688
671369,472688
727478,472688
404141,472688
400068,472688
767952,472688
768322,472688
167660,472688
80933,472688
337777,457185
759589,457185
654336,457185
642307,457185
757800,457185
763864,457185
112507,457185
229625,457185
259282,457185
126810,457185
775875,457185
601650,457185
651210,457185
258629,59710
229574,59710
80061,59710
725402,59710
60074,59710
297201,59710
100566,59710
60569,59710
478503,59710
822782,59710
594047,59710
659029,59710
396712,59710
611768,755642
602561,755642
548332,755642
505507,755642
177202,755642
692121,755642
132752,755642
109429,755642
83908,755642
268362,755642
616444,755642
333333,755642
612835,755642
703579,16954
460332,16954
644839,16954
277981,16954
384091,16954
807271,16954
457192,16954
42416,16954
360492,16954
56646,16954
759538,16954
319304,16954
352859,16954
479711,518346
53881,518346
375591,518346
722546,518346
816190,518346
150588,518346
143388,518346
788695,518346
81603,518346
766433,518346
633185,518346
471340,518346
159102,518346
464437,108637
110155,108637
496960,108637
294297,108637
367992,108637
525537,108637
505760,108637
157914,108637
348057,108637
435316,108637
698653,108637
127907,108637
645282,108637
646684,246933
186224,246933
660099,246933
582823,246933
109531,246933
459049,246933
777933,246933
509830,246933
794250,246933
532717,246933
382399,246933
