drug,cluster_id
255056,267332
401334,267332
696739,267332
816034,267332
552482,267332
467276,267332
687447,267332
337968,267332
809123,267332
86398,267332
512095,267332
245559,267332
383143,267332
814654,267332
547078,267332
133652,267332
819884,267332
808826,267332
298418,267332
617975,267332
160300,267332
374651,267332
159701,267332
518816,267332
64871,267332
574843,267332
446444,267332
68935,267332
114807,267332
791568,267332
218230,267332
381062,267332
256015,267332
587701,267332
63891,267332
504476,267332
827815,267332
820403,267332
14793,267332
447115,267332
334604,267332
441998,267332
253419,267332
12965,267332
98556,267332
155154,267332
814410,267332
516043,267332
444745,267332
677267,267332
754685,267332
703704,267332
608198,267332
143163,267332
86791,267332
327655,267332
392749,267332
502239,267332
231855,267332
668467,267332
408861,267332
195907,267332
713818,267332
380271,267332
415717,267332
40371,267332
326684,267332
436663,267332
667339,291990
376628,291990
189841,291990
646697,291990
534922,291990
639110,291990
391814,291990
66521,291990
167423,291990
821335,291990
636315,291990
442158,291990
750357,291990
811462,291990
474184,291990
666792,291990
649320,291990
826468,291990
737009,291990
635513,291990
360218,291990
258178,291990
814126,291990
779959,291990
656061,291990
403587,291990
579523,291990
717301,291990
516969,291990
551241,291990
335247,291990
584332,291990
98563,291990
150959,291990
32345,291990
118995,291990
585971,291990
616886,291990
760193,291990
422157,291990
470484,291990
306386,291990
713828,291990
13444,291990
771183,291990
372477,291990
591653,291990
165295,291990
479316,291990
289477,291990
399343,291990
344543,291990
58720,291990
597574,291990
662960,291990
193197,291990
760267,291990
461968,291990
289734,291990
177393,291990
668118,291990
643085,291990
721784,291990
602410,291990
72336,291990
73695,291990
246914,291990
602839,291990
671452,291990
192565,291990
27909,291990
604651,291990
172437,291990
462409,291990
643802,291990
570252,291990
635311,291990
463374,291990
748743,291990
733003,291990
597449,291990
326157,291990
365561,291990
814380,401069
167868,401069
757071,401069
531336,401069
455116,401069
200389,401069
467208,401069
365599,401069
54703,401069
409812,401069
698539,401069
775640,401069
717188,401069
171389,401069
11865,401069
249248,401069
170564,401069
687356,401069
520101,401069
143622,401069
447909,401069
655264,401069
426902,401069
731424,401069
343441,401069
392841,401069
507657,401069
807137,401069
197115,401069
7434,401069
723529,401069
789583,401069
639277,401069
281685,401069
56975,401069
32237,401069
741866,401069
477110,401069
639792,401069
140229,401069
556887,401069
702241,401069
538638,401069
434570,401069
744734,401069
811762,401069
502106,401069
534169,401069
284054,401069
56634,401069
470083,401069
749895,401069
269855,401069
657124,401069
480071,401069
18655,401069
109555,401069
158632,401069
439603,401069
331800,401069
24,401069
2457,401069
106750,401069
475446,401069
394856,401069
785741,401069
471579,401069
754696,401069
651648,401069
727652,401069
107246,401069
181015,401069
157212,401069
532544,401069
89286,401069
289928,401069
91309,401069
440334,384999
615338,384999
460206,384999
135347,384999
555522,384999
702974,384999
364909,384999
730680,384999
416337,384999
357659,384999
779698,384999
116252,384999
188616,384999
570880,384999
666447,384999
762999,384999
156254,384999
527410,384999
377471,384999
681660,384999
54873,384999
695079,384999
237295,384999
751928,384999
786532,384999
379506,384999
316094,384999
768918,384999
797921,384999
411339,384999
512419,384999
190239,384999
156522,384999
443134,384999
649772,384999
328853,384999
659575,384999
508195,384999
68031,384999
489163,384999
398007,384999
281121,384999
487154,384999
392641,384999
727293,384999
185889,384999
762987,384999
720533,384999
225538,384999
433316,384999
194011,384999
479750,384999
130587,384999
308171,384999
171272,384999
499812,384999
44107,384999
277889,384999
311193,384999
739536,384999
338788,384999
81167,384999
794133,384999
650238,384999
160662,384999
805988,384999
1136,384999
372633,384999
205049,384999
696025,384999
693275,563840
184544,563840
407279,563840
306878,563840
817953,563840
540270,563840
498706,563840
824872,563840
510976,563840
480758,563840
630936,563840
567925,563840
613891,563840
536968,563840
330329,563840
21222,563840
371829,563840
476106,563840
485290,563840
185555,563840
244514,563840
377307,563840
241963,563840
380391,563840
311196,563840
179343,563840
695712,563840
139097,563840
448766,563840
78543,563840
750516,563840
291037,563840
40201,563840
283745,563840
556858,563840
735280,563840
116048,563840
737054,563840
748350,563840
7956,563840
737249,563840
69339,563840
818289,563840
765942,563840
251323,563840
449279,563840
361787,563840
183241,563840
452246,563840
303498,563840
343578,563840
729370,563840
134972,563840
372605,563840
704733,563840
108510,563840
821765,563840
127673,563840
360395,563840
436733,563840
600208,563840
672250,563840
55714,563840
723799,563840
335702,563840
624951,563840
271704,563840
830010,94018
585865,94018
723169,94018
463385,94018
826622,94018
212855,94018
96266,94018
470345,94018
167015,94018
213815,94018
370906,94018
295987,94018
477225,94018
794311,94018
807546,94018
508436,94018
809584,94018
346265,94018
240114,94018
583766,94018
543894,94018
301467,94018
9581,94018
289978,94018
611585,94018
723562,94018
530878,94018
10164,94018
241087,94018
118634,94018
382573,94018
15631,94018
376268,94018
49808,94018
33286,94018
130917,94018
271695,94018
292992,94018
662869,94018
424831,94018
748457,94018
526873,94018
306063,94018
543327,94018
788596,94018
368660,94018
95544,94018
171984,94018
778636,94018
459551,94018
793805,94018
334832,94018
445699,94018
275713,122857
480082,122857
823432,122857
587034,122857
643024,122857
411218,122857
767888,122857
372223,122857
283370,122857
478973,122857
817084,122857
99161,122857
197226,122857
413350,122857
580154,122857
782913,122857
340110,122857
29724,122857
672897,122857
14239,122857
741413,122857
811080,122857
655066,122857
812212,122857
382795,122857
13743,122857
532549,122857
455649,122857
709913,122857
775032,122857
522981,122857
542189,122857
797309,122857
205019,122857
120605,122857
290768,122857
803226,122857
772006,122857
424130,122857
460620,122857
701931,122857
46491,9253
5786,9253
605031,9253
356479,9253
216156,9253
224843,9253
753300,9253
822520,9253
796217,9253
707150,9253
511655,9253
376566,9253
226362,9253
213281,9253
93807,9253
41778,9253
780190,9253
282294,9253
617286,9253
780198,9253
704075,9253
360153,9253
220285,9253
441399,9253
352630,9253
250596,9253
654997,9253
619391,9253
334719,9253
387576,9253
103246,9253
639229,9253
709610,9253
199037,9253
742400,9253
197282,9253
573811,9253
704666,9253
246766,9253
430362,104550
478888,104550
468256,104550
87786,104550
534002,104550
214085,104550
647376,104550
152304,104550
558808,104550
436763,104550
221532,104550
662661,104550
589992,104550
623271,104550
650899,104550
420376,104550
384355,104550
756335,104550
561425,104550
220441,104550
390939,104550
542439,104550
278000,104550
576113,104550
722375,104550
187191,104550
210306,104550
476699,104550
46715,104550
586140,104550
699097,104550
632643,104550
397447,104550
224449,104550
516461,104550
381936,104550
628719,104550
383622,104550
806634,104550
239117,387560
586026,387560
405231,387560
742889,387560
711623,387560
281775,387560
153627,387560
59542,387560
572745,387560
170475,387560
440497,387560
256040,387560
72572,387560
687958,387560
697595,387560
446567,387560
154735,387560
25877,387560
495352,387560
762424,387560
797264,387560
461917,387560
56427,387560
134048,387560
617879,387560
499368,387560
490263,387560
613524,387560
608781,387560
444283,387560
89723,387560
465705,387560
341074,387560
379944,387560
282604,387560
450031,387560
174746,387560
559196,387560
524849,488392
502072,488392
813308,488392
782206,488392
40255,488392
320668,488392
414617,488392
763413,488392
517698,488392
663008,488392
240579,488392
169797,488392
488028,488392
127590,488392
232094,488392
692299,488392
592448,488392
821020,488392
11379,488392
247313,488392
550091,488392
547295,488392
630339,488392
566082,488392
324314,488392
11915,488392
267273,488392
706480,488392
392931,488392
701090,488392
179335,488392
715616,488392
172000,488392
526770,488392
639587,488392
683589,488392
570315,488392
173981,117788
340331,117788
577667,117788
443707,117788
282032,117788
346178,117788
710369,117788
620642,117788
86729,117788
816698,117788
551050,117788
473019,117788
512746,117788
250313,117788
492705,117788
22103,117788
122897,117788
491129,117788
106472,117788
94985,117788
78066,117788
686386,117788
563998,117788
586593,117788
115829,117788
153922,117788
345476,117788
130645,117788
184205,117788
50848,117788
157644,117788
334224,117788
739022,117788
582653,117788
296476,117788
111945,117788
231440,117788
695338,441094
36536,441094
492720,441094
639816,441094
271686,441094
674258,441094
628649,441094
721921,441094
370181,441094
226680,441094
204348,441094
420561,441094
88252,441094
404322,441094
779728,441094
164154,441094
21803,441094
214684,441094
542465,441094
327269,441094
421805,441094
75105,441094
487064,441094
68814,441094
644977,441094
137151,441094
261058,441094
480810,441094
216358,441094
17937,441094
402252,441094
281251,441094
255818,441094
115612,441094
446055,730944
140652,730944
782670,730944
498568,730944
492982,730944
306902,730944
100198,730944
542509,730944
831052,730944
735688,730944
203185,730944
732297,730944
123327,730944
339462,730944
804094,730944
298359,730944
288957,730944
482868,730944
435933,730944
22301,730944
786294,730944
811294,730944
829221,730944
792584,730944
232589,730944
774782,730944
494101,730944
647756,730944
226612,730944
54591,730944
51012,730944
178352,730944
518701,326902
405394,326902
464849,326902
763656,326902
444551,326902
773217,326902
628629,326902
689748,326902
680570,326902
514014,326902
395686,326902
505886,326902
46888,326902
151288,326902
376886,326902
670076,326902
362105,326902
628715,326902
264148,326902
360725,326902
720057,326902
384146,326902
646231,326902
537247,326902
88953,326902
724397,326902
244130,326902
454254,326902
165740,326902
405667,326902
490835,326902
180098,326902
566424,708339
99046,708339
141689,708339
117107,708339
407750,708339
672083,708339
277054,708339
118579,708339
162103,708339
47342,708339
626622,708339
557565,708339
533228,708339
737136,708339
569326,708339
182265,708339
40902,708339
773767,708339
307769,708339
138127,708339
678160,708339
33848,708339
459094,708339
100257,708339
187436,708339
468409,708339
126006,708339
142398,708339
376631,708339
463452,708339
279063,708339
559373,708339
631274,52296
87753,52296
277287,52296
399718,52296
368030,52296
304264,52296
619694,52296
582192,52296
527472,52296
201470,52296
791112,52296
179844,52296
99756,52296
437248,52296
826725,52296
591474,52296
177832,52296
352479,52296
735256,52296
543990,52296
463170,52296
826858,52296
828390,52296
296167,52296
763967,52296
22184,52296
663979,52296
8578,438541
72866,438541
306939,438541
799697,438541
717685,438541
458375,438541
286414,438541
212526,438541
723783,438541
478241,438541
348966,438541
229662,438541
481515,438541
692057,438541
463052,438541
327921,438541
603941,438541
810726,438541
800303,438541
102165,438541
137070,438541
87834,438541
729387,438541
45380,438541
662597,438541
313364,438541
325996,720051
715559,720051
