target_id,sp_id,taxon_id
252873,19,17
143746,19,17
300295,19,17
274799,19,17
21211,19,17
136197,19,17
372714,19,17
110261,19,17
53788,19,17
19722,19,17
380494,19,17
255006,19,17
210366,19,17
219207,19,17
384717,19,17
398169,19,17
17752,19,17
13614,19,17
358162,19,17
138430,19,17
256725,19,17
207385,19,17
330895,19,17
218573,19,17
319723,19,17
47097,19,17
287783,19,17
296817,19,17
147355,19,17
204313,19,17
283794,19,17
205293,19,17
17776,19,17
226629,19,17
192018,19,17
97202,19,17
391941,19,17
115349,19,17
126166,19,17
393628,19,17
399557,19,17
297296,19,17
24070,19,17
262817,19,17
152759,19,17
69428,19,17
70645,19,17
26007,19,17
102935,19,17
9486,19,17
285223,19,17
20470,19,17
183818,19,17
360309,19,17
180726,19,17
31369,19,17
146919,19,17
16566,19,17
126616,19,17
348759,19,17
293648,19,17
133675,19,17
385109,19,17
136280,19,17
192672,19,17
120361,19,17
192984,19,17
206432,19,17
320113,19,17
194776,19,17
150072,19,17
63452,19,17
339248,19,17
194383,19,17
271708,19,17
228392,19,17
246494,19,17
161964,19,17
351589,19,17
301573,19,17
130958,19,17
363355,19,17
164558,19,17
65345,19,17
220371,19,17
248632,19,17
194242,19,17
122777,19,17
392347,19,17
326691,19,17
355433,19,17
115005,19,17
162956,19,17
308909,19,17
297605,19,17
97633,19,17
258574,19,17
221362,19,17
240456,19,17
180378,19,17
84686,19,17
93806,19,17
372599,19,17
83256,19,17
224336,19,17
308643,19,17
3222,19,17
344224,19,17
87464,19,17
267707,19,17
289167,19,17
140980,19,17
372838,19,17
376772,19,17
32437,19,17
163045,19,17
388237,19,17
344971,19,17
29522,19,17
163616,19,17
51900,19,17
35016,19,17
175719,19,17
280735,19,17
365006,19,17
97217,19,17
287785,19,17
221731,19,17
212559,19,17
291658,19,17
332507,19,17
376074,19,17
354308,19,17
85023,19,17
128334,19,17
14950,19,17
377733,19,17
244660,19,17
85348,19,17
254537,19,17
351975,19,17
218437,19,17
165529,19,17
143649,19,17
149124,19,17
316227,19,17
243158,19,17
215252,19,17
373630,19,17
99211,19,17
255284,19,17
166268,19,17
227069,19,17
55612,19,17
68166,19,17
39200,19,17
340251,19,17
277160,19,17
141878,19,17
51571,19,17
1791,19,17
81421,19,17
6246,19,17
373969,19,17
112230,19,17
252380,19,17
61740,19,17
3341,19,17
97105,19,17
68347,19,17
88152,19,17
229335,19,17
256959,19,17
176639,19,17
31514,19,17
385068,19,17
181409,19,17
328218,19,17
333481,19,17
175291,19,17
259329,19,17
66873,19,17
271910,19,17
269121,19,17
355792,19,17
310501,19,17
334857,19,17
99107,19,17
219265,19,17
43187,19,17
59592,19,17
117999,19,17
320736,19,17
292813,19,17
81069,19,17
240262,19,17
281432,19,17
62452,19,17
352874,19,17
375104,19,17
54218,19,17
105754,19,17
112550,19,17
214735,19,17
279752,19,17
50516,19,17
350160,19,17
14021,19,17
272279,19,17
212115,19,17
51652,19,17
109920,19,17
192204,19,17
194572,19,17
332957,19,17
16047,19,17
286028,19,17
62206,19,17
19201,19,17
384011,19,17
126878,19,17
260053,19,17
339533,19,17
266135,19,17
350777,19,17
231039,19,17
196665,19,17
164304,19,17
228505,19,17
371064,19,17
391670,19,17
143410,19,17
388393,19,17
213863,19,17
304958,19,17
92945,19,17
61833,19,17
206753,19,17
251641,19,17
30124,19,17
172720,19,17
176183,19,17
188072,19,17
187263,19,17
122786,19,17
343876,19,17
54241,19,17
70901,19,17
152681,19,17
78535,19,17
139957,19,17
199750,19,17
376435,19,17
48684,19,17
67468,19,17
71243,19,17
144474,19,17
317103,19,17
44664,19,17
131509,19,17
120709,19,17
16556,19,17
288901,19,17
125679,19,17
199934,19,17
148255,19,17
341802,19,17
287117,19,17
260581,19,17
58132,19,17
279847,19,17
209579,19,17
199726,19,17
134969,19,17
299560,19,17
223810,19,17
112442,19,17
96770,19,17
253914,19,17
202965,19,17
163649,19,17
54495,19,17
337551,19,17
336375,19,17
35985,19,17
25018,19,17
208152,19,17
61160,19,17
26449,19,17
185679,19,17
114610,19,17
193290,19,17
197898,19,17
347914,19,17
21031,19,17
328762,19,17
76399,19,17
149478,19,17
191145,19,17
213054,19,17
14199,19,17
222087,19,17
124852,19,17
378670,19,17
338243,19,17
13056,19,17
42128,19,17
63414,19,17
128216,19,17
242260,19,17
229490,19,17
1607,19,17
7534,19,17
203016,19,17
57664,19,17
95784,19,17
298822,19,17
42681,19,17
123650,19,17
245698,19,17
259707,19,17
371493,19,17
357066,19,17
45452,19,17
289205,19,17
345338,19,17
160903,19,17
291110,19,17
146218,19,17
113175,19,17
261646,19,17
394865,19,17
45796,19,17
372794,19,17
64140,19,17
234377,19,17
47494,19,17
3899,19,17
280478,19,17
310775,19,17
137336,19,17
98074,19,17
162750,19,17
273864,19,17
278272,19,17
188776,19,17
305424,19,17
363239,19,17
31792,19,17
302528,19,17
65394,19,17
103299,19,17
313616,19,17
322930,19,17
168376,19,17
336065,19,17
375291,19,17
16234,19,17
330777,19,17
331359,19,17
295921,19,17
45822,19,17
221634,19,17
219613,19,17
277165,19,17
300603,19,17
137563,19,17
179751,19,17
95609,19,17
343333,19,17
297642,19,17
126355,19,17
362760,19,17
259286,19,17
240879,19,17
88374,19,17
170223,19,17
31291,19,17
319658,19,17
132099,19,17
244175,19,17
163653,19,17
119278,19,17
346656,19,17
379721,19,17
387037,19,17
37041,19,17
104678,19,17
271993,19,17
47117,19,17
103110,19,17
219542,19,17
294758,19,17
170105,19,17
117268,19,17
340889,19,17
389971,19,17
46091,19,17
268183,19,17
381525,19,17
104107,19,17
138229,19,17
63247,19,17
308113,19,17
246189,19,17
124834,19,17
75750,19,17
323634,19,17
307043,19,17
380492,19,17
276836,19,17
140328,19,17
13525,19,17
211122,19,17
324051,19,17
281685,19,17
178896,19,17
337265,19,17
106888,19,17
398001,19,17
42814,19,17
145170,19,17
218919,19,17
221662,19,17
156706,19,17
58858,19,17
126077,19,17
219804,19,17
371274,19,17
217559,19,17
140252,19,17
120053,19,17
357887,19,17
14804,19,17
14274,19,17
303155,19,17
54602,19,17
160044,19,17
337516,19,17
217352,19,17
238281,19,17
324162,19,17
142928,19,17
8092,19,17
170554,19,17
258553,19,17
176482,19,17
308561,19,17
124625,19,17
45532,19,17
373094,19,17
231203,19,17
154497,19,17
50598,19,17
248601,19,17
75984,19,17
44355,19,17
2773,19,17
338050,19,17
102622,19,17
351705,19,17
51123,19,17
175189,19,17
295300,19,17
126944,19,17
379466,19,17
121676,19,17
81379,19,17
262980,19,17
32611,19,17
216160,19,17
16820,19,17
322864,19,17
115042,19,17
276021,19,17
186686,19,17
354541,19,17
236362,19,17
252039,19,17
349474,19,17
32766,19,17
336307,19,17
20553,19,17
371710,19,17
233592,19,17
31774,19,17
149459,19,17
28640,19,17
82135,19,17
320809,19,17
121755,19,17
91681,19,17
259962,19,17
304215,19,17
175613,19,17
399253,19,17
33074,19,17
298364,19,17
134684,19,17
160945,19,17
194833,19,17
125657,19,17
160051,19,17
78312,19,17
387463,19,17
237154,19,17
39160,19,17
335592,19,17
66259,19,17
164058,19,17
91805,19,17
3651,19,17
264521,19,17
221609,19,17
130732,19,17
249042,19,17
256211,19,17
235058,19,17
285866,19,17
73736,19,17
86691,19,17
98369,19,17
351779,19,17
335280,19,17
193902,19,17
25136,19,17
117969,19,17
118299,19,17
47994,19,17
256383,19,17
77913,19,17
263175,19,17
327956,19,17
287691,19,17
58061,19,17
298462,19,17
161138,19,17
316531,19,17
330929,19,17
219992,19,17
111572,19,17
127509,19,17
118547,19,17
43752,19,17
359193,19,17
80489,19,17
6702,19,17
352660,19,17
388626,19,17
191040,19,17
192122,19,17
239426,19,17
41391,19,17
31575,19,17
15651,19,17
253641,19,17
73649,19,17
338627,19,17
177124,19,17
25482,19,17
84199,19,17
274923,19,17
139987,19,17
202691,19,17
274584,19,17
107391,19,17
373516,19,17
176807,19,17
244557,19,17
366364,19,17
96524,19,17
108386,19,17
245827,19,17
24083,19,17
83500,19,17
108186,19,17
1541,19,17
75647,19,17
25258,19,17
313674,19,17
385203,19,17
321660,19,17
350602,19,17
91861,19,17
382314,19,17
170768,19,17
317788,19,17
293740,19,17
5165,19,17
201232,19,17
391926,19,17
72091,19,17
35783,19,17
148353,19,17
314630,19,17
337014,19,17
231373,19,17
190408,19,17
338221,19,17
23430,19,17
314256,19,17
79984,19,17
61900,19,17
36027,19,17
162268,19,17
397902,19,17
290341,19,17
301600,19,17
41883,19,17
109216,19,17
133758,19,17
137305,19,17
248868,19,17
35294,19,17
316054,19,17
25685,19,17
332156,19,17
23578,19,17
309937,19,17
23632,19,17
43639,19,17
273066,19,17
72574,19,17
210226,19,17
263331,19,17
107048,19,17
159470,19,17
113925,19,17
129903,19,17
372819,19,17
92843,19,17
157812,19,17
293150,19,17
192148,19,17
281712,19,17
95123,19,17
138908,19,17
389864,19,17
1099,19,17
130182,19,17
104651,19,17
158507,19,17
66731,19,17
93842,19,17
140586,19,17
369066,19,17
266925,19,17
100192,19,17
346450,19,17
195548,19,17
394233,19,17
221437,19,17
174747,19,17
333765,19,17
376824,19,17
339458,19,17
72309,19,17
372143,19,17
10448,19,17
38916,19,17
269501,19,17
330841,19,17
375437,19,17
5601,19,17
114252,19,17
354629,19,17
83506,19,17
353657,19,17
299990,19,17
336620,19,17
237406,19,17
376526,19,17
52761,19,17
77643,19,17
17897,19,17
382049,19,17
215168,19,17
96002,19,17
62390,19,17
65378,19,17
140210,19,17
113250,19,17
341543,19,17
307816,19,17
243077,19,17
125562,19,17
96055,19,17
217316,19,17
298856,19,17
265407,19,17
367467,19,17
211459,19,17
194675,19,17
50953,19,17
111562,19,17
166815,19,17
161097,19,17
81683,19,17
348684,19,17
175139,19,17
308912,19,17
87884,19,17
216408,19,17
247966,19,17
165681,19,17
340618,19,17
55894,19,17
17020,19,17
307565,19,17
375547,19,17
370688,19,17
17217,19,17
313486,19,17
369139,19,17
69602,19,17
135264,19,17
175915,19,17
306011,19,17
253099,19,17
203810,19,17
302843,19,17
145430,19,17
367196,19,17
132446,19,17
316559,19,17
176097,19,17
273938,19,17
267065,19,17
