target_id,ann,type
131221,11718,5
131221,6823,7
131221,9868,7
131221,1993,1
274071,12983,5
274071,34372,5
274071,15811,7
274071,10617,5
274071,33851,5
274071,17173,5
274071,1057,5
274071,8579,5
274071,11835,5
274071,13191,5
274071,9215,5
274071,16779,5
274071,4303,5
274071,19373,5
274071,33090,7
274071,33153,5
274071,19635,5
274071,12317,7
274071,6642,7
274071,24970,5
274071,22439,1
274071,2731,7
274071,13046,5
274071,14819,5
274071,8709,5
274071,24472,7
274071,8832,7
274071,5004,7
274071,24157,7
274071,8283,7
274071,12884,7
274071,22176,7
274071,32424,7
274071,34992,7
274071,31995,5
274071,31422,5
274071,31030,5
323839,33539,5
323839,22407,7
323839,23557,1
108143,36673,1
108143,26596,5
98648,22463,1
98648,34083,7
98648,13012,1
98648,27590,0
98648,8592,5
98648,30207,7
98648,16628,5
361579,16919,5
361579,4246,7
361579,10382,1
112047,34508,5
112047,30162,1
112047,23415,5
85729,15671,5
85729,29217,5
85729,610,7
85729,11495,1
190337,13088,5
190337,21136,5
190337,36103,1
190337,3336,0
190337,22580,0
190337,15137,1
190337,4114,1
190337,32980,7
190337,30166,7
77727,31191,1
77727,8751,1
334385,28671,5
334385,14547,7
334385,12255,7
334385,11575,1
281561,13191,5
281561,14050,5
281561,30447,1
281561,14789,5
281561,9835,5
281561,24970,5
281561,24472,7
281561,11642,7
281561,15692,7
281561,31014,5
281561,35678,1
281561,1551,5
75522,22064,1
75522,24948,1
75522,35742,7
75522,648,6
75522,29442,7
75522,15884,7
75522,1635,7
75522,6218,7
75522,14439,5
75522,28014,5
159646,23246,5
159646,30735,1
159646,2677,7
159646,3210,5
159646,17661,5
159646,26741,5
159646,7114,7
159646,31827,1
274512,13779,5
274512,30295,1
274512,10645,5
274512,13671,5
274512,2121,5
274512,17461,7
274512,4771,7
274512,545,7
274512,17508,7
274512,19294,7
274512,22607,0
274512,31633,2
274512,31552,1
274512,12396,5
274512,14159,7
274512,3678,1
321596,2258,5
321596,871,7
29467,6870,0
29467,27025,7
29467,14480,5
29467,17564,5
29467,23918,5
29467,21246,0
29467,22407,7
29467,28465,1
109270,1000,1
109270,20589,1
109270,9681,7
109270,33246,7
109270,25660,5
109270,10398,5
109270,24472,7
109270,15949,5
91735,12466,0
91735,36432,3
91735,5949,7
91735,9250,7
91735,13934,5
322410,24358,5
322410,14996,5
322410,19958,5
322410,8381,7
322410,341,1
322410,23208,5
322410,29893,5
322410,2918,7
322410,24420,5
322410,30607,7
322410,11574,5
225652,34398,1
45993,23052,5
45993,14251,7
45993,5069,5
45993,17822,5
45993,32463,1
45993,32606,5
45993,26650,7
45993,9163,7
54369,13031,5
54369,30364,5
54369,28246,7
54369,27998,4
54369,24472,7
54369,10254,5
54369,511,5
54369,20462,5
54369,34628,5
104552,1089,1
104552,417,0
104552,13722,5
104552,27513,7
104552,29200,7
104552,26639,7
354133,5189,1
354133,4895,7
111430,24902,1
111430,9637,1
111430,24517,5
111430,36261,7
226380,22390,5
226380,395,5
226380,8915,7
226380,12471,7
309344,6558,1
386880,34884,1
386880,26933,7
202738,38,7
202738,2234,7
202738,50,5
154310,28152,1
154310,11625,7
69649,32364,5
69649,7193,1
69649,12185,1
69649,17178,7
234687,15617,3
107645,27192,1
107645,27471,5
107645,19200,5
107645,6447,5
107645,30026,7
107645,20106,5
107645,30460,1
107645,10147,5
107645,8897,7
308181,486,5
308181,35381,5
308181,22875,1
308181,18120,7
308181,2918,7
308181,35204,7
7744,4934,5
7744,19505,5
7744,15964,1
7744,1562,1
163973,20495,1
160004,8106,0
160004,31507,5
160004,31751,5
160004,8832,7
160004,20543,1
220801,7674,5
220801,21557,7
220801,12832,1
40121,34227,0
40121,13194,5
40121,26743,5
40121,16609,7
40121,2876,5
40121,1008,7
40121,35566,7
40121,18475,7
399218,22240,1
399218,23393,7
399218,5809,5
399218,30278,5
293831,383,1
293831,23393,7
293831,5809,5
293831,6564,5
293831,22196,0
293831,16658,7
293831,29122,5
217478,28994,5
217478,23037,5
217478,24084,1
217478,30704,7
217478,26757,7
217478,18069,1
217478,25006,5
217478,26919,5
217478,29998,5
217478,33986,5
217478,12595,5
217478,29778,5
217478,10670,5
328403,32200,5
328403,11462,1
328403,26803,7
328403,26716,7
328403,11103,5
328403,3903,0
328403,9937,5
328403,1581,7
328403,9470,1
274243,29325,5
274243,16229,1
274243,11061,7
274243,12313,5
85874,10859,1
85874,24472,7
85874,36265,5
72748,19402,1
72748,406,5
72748,31280,7
72748,36668,4
72748,13185,2
95955,10326,0
95955,13586,1
95955,10281,5
95955,15536,5
95955,4788,7
95955,12168,7
246951,20561,0
246951,32200,5
246951,5294,5
246951,5180,5
246951,1797,5
246951,6333,7
246951,11336,1
246951,6235,5
246951,1581,7
246951,19609,1
246951,24078,5
121229,387,1
121229,13191,5
121229,12550,0
121229,25267,5
121229,29765,5
121229,23645,5
121229,24970,5
121229,21198,5
121229,36162,0
121229,24472,7
121229,4403,7
121229,22303,7
121229,3030,5
318628,30252,5
318628,2794,1
318628,35118,7
318628,16073,1
84159,9218,5
84159,4643,1
84159,6405,7
84159,20694,0
84159,9168,5
84159,11354,1
152095,8428,5
152095,554,1
375099,34419,5
185902,19933,7
172015,24081,5
172015,10475,5
172015,17461,7
172015,3601,1
172015,3460,2
172015,18909,2
172015,33437,2
172015,21325,5
172015,33117,5
172015,6823,7
172015,15387,7
119428,15439,1
119428,23696,7
138764,29522,1
138764,13784,5
138764,23165,7
138764,28811,5
138764,20259,0
100695,23818,3
100695,15386,1
224574,27951,5
224574,21135,1
342299,144,1
342299,13784,5
342299,23165,7
221919,12445,5
221919,1170,7
129769,12445,5
129769,1170,7
140102,29543,1
140102,13691,7
343114,4446,5
343114,381,7
343114,6352,7
319590,9703,5
249373,28419,5
249373,14930,5
249373,23870,5
249373,9100,5
249373,9018,1
249373,24472,7
249373,36807,5
249373,13396,5
108376,18538,1
108376,13784,5
108376,23165,7
60257,21801,1
60257,10279,5
60257,27581,5
60257,3620,5
60257,24507,0
60257,31987,7
252623,23398,7
252623,2460,3
181956,2460,3
197318,27680,5
197318,36076,5
197318,1600,1
197318,26993,5
197318,6334,5
197318,776,7
197318,2536,7
199842,17429,5
199842,29736,7
159448,11742,1
159448,8832,7
159448,2286,1
227260,11464,5
227260,23818,3
215428,28191,1
215428,32870,1
215428,32177,1
153291,29008,5
153291,4776,1
153291,6447,5
153291,5408,7
153291,6326,5
153291,19525,5
153291,10214,7
153291,8897,7
246063,26874,5
246063,12266,7
246063,17241,1
93020,19337,5
93020,13026,7
93020,19601,1
395034,9637,1
395034,24517,5
395034,36261,7
169592,16634,5
169592,33892,5
169592,12974,1
169592,32982,0
169592,11518,1
169592,19131,7
177914,9565,1
177914,21165,7
177914,11824,0
177914,6480,1
177914,33489,7
274789,18485,1
274789,6670,5
274789,33451,7
274789,35062,5
76607,28245,1
76607,22527,7
133058,14879,5
133058,6106,2
133058,25490,7
255282,26082,5
255282,25987,5
255282,12569,5
255282,17004,1
255282,13759,7
255282,29362,7
255282,6413,0
255282,27051,7
255282,17436,1
101044,24016,1
101044,5851,5
101044,15009,0
101044,10190,7
116698,34469,1
116698,34123,7
116698,13245,5
116698,11159,1
116698,19716,1
385820,11432,1
385820,17602,5
385820,5136,1
385820,34027,4
385820,19391,7
385820,25369,7
