drug_id,sp_id,activity_tag,publication_year,cluster_consistent
247608,0,1,2023,1
598848,10,1,2005,1
91996,3,1,1996,1
353794,25,1,2009,1
353794,26,1,2009,1
80053,25,1,2009,1
80053,26,1,2009,1
565939,26,1,-1,1
431110,5,1,2010,1
135677,1,1,2004,1
135677,5,1,2004,1
270929,19,1,2010,1
270929,26,1,2010,1
400340,5,1,2010,1
386424,5,1,2010,1
439001,0,1,2014,1
439001,26,1,-1,1
452095,1,1,2009,1
691404,26,1,-1,1
491978,26,1,-1,1
68287,19,1,2010,1
68287,26,1,2010,1
43302,18,1,2010,1
405092,5,1,2010,1
710247,26,1,2010,1
394844,26,1,2010,1
301713,19,1,2010,1
301713,26,1,2010,1
495020,19,1,2010,1
495020,26,1,2010,1
589426,26,1,2009,1
271503,26,1,2009,1
316080,5,1,2010,1
135912,25,1,-1,1
135912,1,1,2023,1
135912,13,1,2022,1
135912,0,1,2017,1
135912,5,1,2024,1
727138,5,1,2010,1
762195,5,1,2010,1
510105,26,1,-1,1
125739,26,1,2010,1
671129,26,1,2010,1
618588,26,1,2009,1
509476,26,1,2009,1
188008,23,1,2010,1
684908,23,1,2010,1
795446,20,1,2014,1
312730,0,1,2012,1
312730,26,1,-1,1
297231,18,1,2017,1
814673,26,1,-1,1
504465,26,1,2022,1
141024,26,1,-1,1
540871,1,1,2009,1
540871,5,1,2009,1
712552,1,1,2009,1
712552,5,1,2009,1
464264,3,1,1993,1
49400,1,1,2009,1
49400,0,1,2024,1
49400,5,1,2009,1
789329,0,1,2010,1
508942,26,1,-1,1
754346,26,1,-1,1
367487,25,1,-1,1
367487,1,1,-1,1
367487,13,1,-1,1
367487,18,1,2016,1
367487,26,1,-1,1
367487,5,1,-1,1
704807,1,1,2010,1
704807,13,1,2010,1
195613,24,1,-1,1
195613,0,1,2012,1
195613,26,1,2008,1
195613,12,1,-1,1
391250,23,1,2010,1
391250,0,1,2010,1
322093,5,1,2010,1
112348,3,1,1996,1
593927,3,1,2016,1
788945,26,1,-1,1
789370,18,1,2010,1
820879,1,1,2016,1
820879,13,1,2016,1
820879,5,1,2016,1
338064,0,1,2009,1
453595,0,1,2009,1
680015,1,1,2012,1
680015,5,1,2012,1
702587,25,1,-1,1
702587,1,1,-1,1
702587,13,1,-1,1
702587,26,2,2009,1
702587,5,1,-1,1
702587,10,3,-1,1
447441,26,1,-1,1
433048,26,1,-1,1
130499,26,1,-1,1
528693,18,1,2010,1
257824,1,1,2010,1
608613,26,1,-1,1
654547,26,1,2010,1
280131,26,1,-1,1
715566,26,1,2010,1
630710,26,1,2010,1
94725,25,1,2010,1
94725,5,1,2010,1
286571,1,1,2010,1
499477,1,1,2010,1
176204,1,1,2010,1
430662,1,1,2010,1
488612,1,1,2010,1
211636,1,1,2010,1
624016,1,1,2010,1
572952,26,1,-1,1
380763,18,1,2002,1
560722,26,1,-1,1
413053,1,1,2009,1
413053,26,1,-1,1
413053,5,1,2009,1
351479,1,1,2009,1
351479,5,1,2009,1
365021,1,1,2009,1
365021,5,1,2009,1
390668,1,1,2009,1
390668,5,1,2009,1
275163,18,3,2010,1
796003,1,1,2010,1
87933,1,1,2010,1
181118,1,1,2010,1
181118,13,1,2010,1
768546,1,1,2010,1
383895,5,1,2010,1
284055,5,1,2010,1
712478,5,1,2010,1
135195,5,1,2010,1
526451,26,1,-1,1
719806,23,1,2010,1
640932,18,3,2010,1
128558,18,3,2010,1
110904,18,3,2010,1
210290,18,3,2010,1
43597,5,1,2010,1
109690,5,1,2010,1
218149,5,1,2010,1
828361,5,1,2010,1
382108,5,1,2010,1
519209,5,1,2010,1
535214,5,1,2010,1
65645,5,1,2010,1
456904,5,1,2010,1
817936,5,1,2010,1
492951,5,1,2010,1
808560,5,1,2010,1
370782,5,1,2010,1
703537,5,1,2010,1
792105,5,1,2010,1
29027,5,1,2010,1
117392,5,1,2010,1
684520,5,1,2010,1
227044,5,1,2010,1
452512,5,1,2011,1
82033,5,1,2011,1
496083,5,1,2011,1
830400,5,1,2011,1
769496,5,1,2011,1
462089,5,1,2011,1
187661,5,1,2011,1
374503,5,1,2011,1
340294,5,1,2011,1
158792,5,1,2011,1
769329,5,1,2011,1
61851,5,1,2011,1
787603,18,1,2010,1
20267,26,1,-1,1
66277,18,1,2010,1
217528,26,1,-1,1
780962,25,1,-1,1
780962,1,1,-1,1
780962,13,1,-1,1
780962,26,1,-1,1
780962,5,1,-1,1
575649,26,1,-1,1
268828,18,1,2010,1
111691,18,1,2010,1
129890,26,1,-1,1
741995,18,1,2010,1
566459,26,1,2009,1
114163,26,1,-1,1
550653,1,1,2009,1
550653,5,1,2009,1
415817,23,1,2010,1
415817,0,1,2010,1
218290,25,1,2010,1
218290,1,1,2010,1
218290,13,1,2010,1
218290,5,1,2010,1
703054,26,1,2009,1
94131,26,1,2009,1
550375,26,1,2009,1
422852,26,1,2009,1
506237,25,1,-1,1
506237,1,1,-1,1
506237,13,1,-1,1
506237,26,1,-1,1
506237,5,1,-1,1
177041,1,1,2019,1
177041,5,1,2019,1
439780,26,1,-1,1
658621,26,1,2005,1
678604,18,1,2010,1
347286,23,1,2010,1
347286,0,1,2010,1
432760,23,1,2010,1
432760,0,1,2010,1
143056,26,1,-1,1
657561,5,1,2010,1
257640,5,1,2010,1
393691,1,1,2010,1
393691,5,1,2010,1
194955,1,1,2010,1
194955,5,1,2010,1
85196,1,1,2010,1
85196,5,1,2010,1
479040,26,1,-1,1
370349,25,1,2011,1
370349,1,1,2011,1
370349,13,1,2011,1
370349,0,1,2010,1
370349,5,1,2011,1
553315,25,1,-1,1
553315,1,1,-1,1
553315,13,1,-1,1
553315,18,1,2016,1
553315,5,1,-1,1
336768,26,1,-1,1
336768,10,2,-1,1
361856,1,1,2009,1
361856,5,1,2009,1
58053,1,1,2010,1
58053,5,1,2010,1
263879,1,1,2009,1
422690,23,1,2010,1
421093,23,1,2010,1
419205,5,1,2010,1
129804,5,1,2010,1
9837,25,1,2010,1
9837,1,1,2010,1
9837,13,1,2010,1
9837,5,1,2010,1
629241,25,1,2010,1
629241,1,1,2010,1
629241,13,1,2010,1
629241,5,1,2010,1
191720,23,1,2010,1
791917,1,1,2016,1
791917,13,1,2016,1
791917,5,1,2016,1
591558,1,1,2010,1
591558,13,1,2010,1
591558,5,1,2010,1
32082,1,1,2010,1
32082,13,1,2010,1
32082,5,1,2010,1
190939,25,1,2010,1
768338,25,1,2010,1
768338,1,1,2010,1
768338,13,1,2010,1
768338,5,1,2010,1
259073,26,1,2010,1
791766,26,1,2010,1
308453,23,1,2010,1
78174,1,1,2010,1
78174,5,1,2010,1
481268,1,1,2010,1
481268,5,1,2010,1
385105,1,1,2010,1
385105,5,1,2010,1
789749,25,1,2023,1
789749,1,1,2023,1
789749,13,1,2023,1
789749,18,1,2016,1
789749,0,1,2017,1
789749,5,1,2023,1
142035,1,1,2016,1
142035,5,1,2003,1
693847,1,1,2010,1
693847,5,1,2010,1
694462,26,1,-1,1
343245,23,1,2010,1
528133,1,1,1992,1
528133,0,1,2005,1
528133,5,1,2011,1
528133,10,1,1992,1
353352,1,1,2010,1
353352,13,1,2010,1
353352,5,1,2010,1
438685,23,1,2010,1
438685,0,1,2010,1
377494,23,1,2010,1
377494,0,1,2010,1
247357,1,1,2004,1
247357,5,1,2004,1
566891,23,1,2010,1
322229,23,1,2010,1
520417,1,1,2010,1
520417,5,1,2010,1
476976,25,1,2010,1
476976,1,1,2010,1
476976,13,1,2010,1
476976,5,1,2010,1
426697,18,1,2014,1
484279,25,1,2010,1
484279,1,1,2010,1
484279,13,1,2010,1
484279,5,1,2010,1
48655,23,1,2010,1
426544,23,1,2010,1
500864,25,1,2010,1
500864,1,1,2010,1
500864,13,1,2010,1
500864,5,1,2010,1
538865,0,1,2010,1
501856,1,1,2010,1
501856,5,1,2010,1
756192,26,1,2010,1
656730,26,1,-1,1
624700,1,1,2010,1
624700,13,1,2010,1
624700,5,1,2010,1
170972,1,1,2010,1
170972,13,1,2010,1
170972,5,1,2010,1
701761,1,1,2016,1
701761,13,1,2016,1
701761,5,1,2016,1
207828,5,1,2010,1
318442,5,1,2010,1
494089,5,1,2010,1
620631,1,1,2010,1
620631,5,1,2010,1
476983,1,1,2010,1
476983,5,1,2010,1
802147,26,1,2010,1
814266,26,1,-1,1
83339,26,1,-1,1
146012,26,1,-1,1
756604,1,1,2010,1
756604,13,1,2010,1
756604,5,1,2010,1
321396,5,1,2010,1
114941,1,1,2010,1
625292,26,1,2010,1
322078,26,1,-1,1
83123,1,1,2010,1
83123,5,1,2010,1
484046,1,1,2010,1
484046,5,1,2010,1
457745,23,1,2010,1
362720,23,1,2010,1
52953,25,1,2010,1
52953,1,1,2010,1
52953,13,1,2010,1
52953,5,1,2010,1
159141,5,1,2010,1
564536,5,1,2010,1
274748,25,1,-1,1
274748,1,1,2018,1
274748,13,1,1994,1
274748,5,1,2007,1
771381,1,1,2010,1
771381,5,1,2010,1
588171,26,1,2010,1
407401,26,1,2010,1
697603,1,1,2010,1
697603,5,1,2010,1
433588,0,1,2018,1
507878,1,1,2010,1
507878,13,1,2010,1
507878,5,1,2010,1
5162,25,1,2010,1
5162,1,1,2010,1
5162,13,1,2010,1
5162,5,1,2010,1
402695,1,1,2010,1
233901,25,1,2010,1
233901,1,1,2010,1
233901,13,1,2010,1
233901,5,1,2010,1
600617,25,1,2010,1
600617,1,1,2010,1
600617,13,1,2010,1
600617,5,1,2010,1
718075,25,1,2010,1
718075,1,1,2010,1
718075,13,1,2010,1
718075,5,1,2010,1
612292,26,1,-1,1
67372,1,1,2010,1
67372,5,1,2010,1
570848,1,1,2010,1
570848,5,1,2010,1
291993,26,1,2010,1
32178,26,1,2010,1
376765,1,1,2010,1
376765,5,1,2010,1
754709,1,1,2010,1
754709,5,1,2010,1
695160,1,1,2010,1
695160,5,1,2010,1
52275,18,1,2010,1
386647,23,1,2010,1
271938,23,1,2010,1
164098,1,1,2010,1
164098,13,1,2010,1
164098,5,1,2010,1
821707,23,1,2010,1
696608,0,1,2017,1
696608,26,1,2017,1
696608,5,1,2017,1
463339,1,1,2009,1
463339,5,1,2009,1
389138,26,1,2010,1
682205,1,1,2010,1
682205,5,1,2010,1
549161,18,3,1992,1
765587,25,1,2010,1
679402,26,1,-1,1
713607,1,1,2004,1
713607,5,1,2004,1
301820,13,1,2010,1
710611,13,1,2010,1
39095,1,1,2010,1
39095,13,1,2010,1
39095,5,1,2010,1
122562,1,1,2010,1
122562,13,1,2010,1
122562,5,1,2010,1
177330,25,1,1993,1
177330,1,1,1992,1
177330,19,1,2017,1
177330,18,1,2005,1
177330,5,1,1992,1
177330,10,1,1993,1
51937,5,1,2010,1
6221,1,1,2010,1
6221,5,1,2010,1
56473,23,1,2010,1
56473,0,1,2010,1
166914,23,1,2010,1
166914,0,1,2010,1
279871,25,1,2014,1
279871,1,1,2014,1
279871,5,1,2014,1
279871,10,1,2014,1
665896,0,1,2010,1
607790,1,1,2010,1
607790,5,1,2010,1
287372,25,1,2013,1
287372,1,1,2013,1
287372,13,1,2013,1
287372,5,1,2013,1
36182,0,1,2010,1
469575,0,1,2010,1
324882,26,1,2010,1
213607,1,3,2010,1
668936,0,1,2010,1
104670,1,1,2018,1
104670,13,1,2018,1
479862,1,1,2018,1
479862,13,1,2018,1
479862,5,1,2016,1
318363,1,1,2018,1
318363,13,1,2018,1
716169,1,1,2018,1
716169,13,1,2018,1
245040,1,1,2010,1
184657,25,1,-1,1
184657,1,1,-1,1
184657,13,1,-1,1
