params,AUC01,AUC,YoudenCutOff,N_targets,alpha,beta,lambda_,gamma
5 1 1 1,0.5688730349442569,0.8051283519269663,0.5334446980756922,18185,1.2,0.0,0.0,0.8
4 1 4 2,0.5687787234887811,0.8052857057478009,0.5306122887542695,18185,0.9,0.0,,1.0
4 1 4 1,0.5687065726485264,0.8056107865101478,0.5310496627715362,18185,0.9,0.0,,0.8
4 1 4 3,0.5685652159002723,0.8049981540575606,0.5304745931797226,18185,0.9,0.0,,1.2
2 1 2 1,0.5685087468242771,0.8047036655540464,0.5366369566974989,18185,0.3,0.0,0.5,0.8
3 1 2 1,0.5683998579541376,0.8061582338669322,0.5351855983079501,18185,0.6,0.0,0.5,0.8
4 1 1 1,0.5678907553390028,0.8043340513289854,0.531492470006409,18185,0.9,0.0,0.0,0.8
2 1 4 1,0.5676946203023011,0.8025544934831528,0.5315007009256174,18185,0.3,0.0,,0.8
3 1 4 2,0.5675834822401516,0.8042012044281102,0.5331182590089438,18185,0.6,0.0,,1.0
3 1 4 1,0.5675052437341033,0.8046268064738978,0.5334822845885323,18185,0.6,0.0,,0.8
3 1 4 3,0.567445405410197,0.8038621317788819,0.5326564355124508,18185,0.6,0.0,,1.2
2 1 4 2,0.5670284766261537,0.8018964118949838,0.5298084158270115,18185,0.3,0.0,,1.0
3 1 1 1,0.5668883714741081,0.8030570289441559,0.5320995307078566,18185,0.6,0.0,0.0,0.8
2 1 4 3,0.56677050056059,0.8014649745464567,0.5300366109664552,18185,0.3,0.0,,1.2
2 1 1 1,0.5656902994093482,0.8003109091197584,0.5293574587657304,18185,0.3,0.0,0.0,0.8
1 1 3 1,0.5356562215789497,0.7908291233330395,0.4873519154241021,18185,0.0,0.0,1.0,0.8
1 1 2 1,0.5318309264552439,0.7831652962118608,0.4784874992610417,18185,0.0,0.0,0.5,0.8
1 1 4 1,0.5290911164120552,0.7787248132858552,0.4719133059580258,18185,0.0,0.0,,0.8
1 1 4 2,0.5288456176865141,0.7771110699429996,0.4694117552609562,18185,0.0,0.0,,1.0
1 1 4 3,0.5280705182099485,0.7766825958605423,0.4785170981330733,18185,0.0,0.0,,1.2
1 1 1 1,0.5260994408182889,0.7737787572977101,0.4688901663707996,18185,0.0,0.0,0.0,0.8
