drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets,archivo,grupo
244355,calb,no informativa,Q9HGT6,2,0.0,3024.5,0.5007450331125828,184680.0,3024.5,indirecta,6040.0,calb_pseudohuerfanas,2
275643,calb,no informativa,Q5A7N4,7,0.0,3080.0,0.5099337748344371,189509.0,3080.0,indirecta,6040.0,calb_pseudohuerfanas,2
279042,calb,no informativa,Q5A7N4,2,0.0,3033.0,0.5021523178807947,185326.5,3033.0,indirecta,6040.0,calb_pseudohuerfanas,3
349359,calb,no informativa,P29717,23,0.0,3047.0,0.5044701986754967,185997.0,3047.0,indirecta,6040.0,calb_pseudohuerfanas,2
414353,calb,no informativa,Q5A7N4,11,0.0,3063.5,0.5072019867549669,190163.5,3063.5,indirecta,6040.0,calb_pseudohuerfanas,3
438039,calb,informativa,P29717,1309,0.0748807539931726,27.0,0.0044701986754966,2718.5,27.0,indirecta,6040.0,calb_pseudohuerfanas,2
557350,calb,no informativa,P10613,5,0.0,3074.5,0.509023178807947,186997.5,3074.5,indirecta,6040.0,calb_pseudohuerfanas,2
655569,calb,no informativa,A0A1D8PF45,4,0.0,3058.5,0.5063741721854305,186617.0,3058.5,indirecta,6040.0,calb_pseudohuerfanas,3
918213,calb,no informativa,P46598,6,0.0,3087.5,0.5111754966887417,187925.0,3087.5,indirecta,6040.0,calb_pseudohuerfanas,2
924218,calb,informativa,P53704,42,0.0077160201973938,14.0,0.0023178807947019,795.0,14.0,indirecta,6040.0,calb_pseudohuerfanas,2
1227391,calb,no informativa,P30418,3,0.0,3029.0,0.5014900662251656,184822.5,3029.0,indirecta,6040.0,calb_pseudohuerfanas,0
1362991,calb,no informativa,Q92410,21,0.0,3034.5,0.5024006622516556,184899.5,3034.5,indirecta,6040.0,calb_pseudohuerfanas,3
1402249,calb,informativa,P53704,29,0.0042658927517768,14.0,0.0023178807947019,843.0,14.0,indirecta,6040.0,calb_pseudohuerfanas,2
1573337,calb,no informativa,P46598,9,0.0,3090.0,0.5115894039735099,188490.5,3090.0,indirecta,6040.0,calb_pseudohuerfanas,2
1620550,calb,no informativa,P82610,6,0.0,3029.0,0.5014900662251656,184620.5,3029.0,indirecta,6040.0,calb_pseudohuerfanas,2
1620866,calb,no informativa,Q5AI14,1167,0.0,3338.0,0.5526490066225166,210304.0,3338.0,indirecta,6040.0,calb_pseudohuerfanas,2
1750574,calb,informativa,P0C8L0,59,0.0661065600177442,4.0,0.0006622516556291,230.0,4.0,indirecta,6040.0,calb_pseudohuerfanas,2
2279062,calb,no informativa,Q59TS4,7,0.0,3027.0,0.501158940397351,184539.0,3027.0,indirecta,6040.0,calb_pseudohuerfanas,2
2367516,calb,no informativa,P82610,9,0.0,3036.5,0.5027317880794702,186931.0,3036.5,indirecta,6040.0,calb_pseudohuerfanas,2
2377616,calb,informativa,Q5A3V6,5,0.25,1.0,0.0001655629139072,4.5,1.0,indirecta,6040.0,calb_pseudohuerfanas,3
2383297,calb,no informativa,Q59UP8,2,0.0,3020.5,0.5000827814569536,184583.5,3020.5,indirecta,6040.0,calb_pseudohuerfanas,3
2384937,calb,no informativa,Q92410,31,0.0,3034.0,0.502317880794702,184980.0,3034.0,indirecta,6040.0,calb_pseudohuerfanas,3
2389141,calb,informativa,P53704,5,0.0112983670833738,2.0,0.0003311258278145,55.0,2.0,indirecta,6040.0,calb_pseudohuerfanas,1
2389641,calb,no informativa,P30418,32,0.0,3099.5,0.5131622516556291,188034.5,3099.5,indirecta,6040.0,calb_pseudohuerfanas,3
2646,cele,no informativa,G5EF15,5,0.0,13947.0,0.5085505925250684,184970.0,13947.0,indirecta,27425.0,cele_pseudohuerfanas,2
36102,cele,no informativa,P52011,15,0.0,13761.5,0.5017866909753874,184822.5,13761.5,indirecta,27425.0,cele_pseudohuerfanas,2
73040,cele,no informativa,Q9XUB2,21,0.0,13992.5,0.5102096627164996,187601.0,13992.5,indirecta,27425.0,cele_pseudohuerfanas,3
73292,cele,no informativa,Q9XUB2,3,0.0,13988.0,0.510045578851413,186283.0,13988.0,indirecta,27425.0,cele_pseudohuerfanas,2
83211,cele,no informativa,Q17427,4,0.0,13719.0,0.5002370100273473,184441.0,13719.0,indirecta,27425.0,cele_pseudohuerfanas,2
90805,cele,no informativa,Q18014,2,0.0,13717.0,0.5001640838650866,184347.5,13717.0,indirecta,27425.0,cele_pseudohuerfanas,2
117208,cele,no informativa,G5EF15,3,0.0,13966.0,0.5092433910665451,184958.0,13966.0,indirecta,27425.0,cele_pseudohuerfanas,3
119853,cele,no informativa,Q9XUB2,2,0.0,13729.0,0.5006016408386509,184650.0,13729.0,indirecta,27425.0,cele_pseudohuerfanas,2
124856,cele,no informativa,Q9XUB2,24,0.0,13730.0,0.5006381039197813,184669.5,13730.0,indirecta,27425.0,cele_pseudohuerfanas,1
129615,cele,no informativa,Q17339,3,0.0,13764.5,0.5018960802187785,185041.5,13764.5,indirecta,27425.0,cele_pseudohuerfanas,2
132459,cele,no informativa,Q9U2M7,11,0.0,13850.5,0.5050319051959891,185568.0,13850.5,indirecta,27425.0,cele_pseudohuerfanas,3
137196,cele,no informativa,Q9XUB2,3,0.0,13993.0,0.5102278942570647,186550.5,13993.0,indirecta,27425.0,cele_pseudohuerfanas,3
165274,cele,no informativa,G5EF15,3,0.0,13781.5,0.5025159525979945,185281.0,13781.5,indirecta,27425.0,cele_pseudohuerfanas,2
166887,cele,no informativa,Q9XUB2,3,0.0,13734.5,0.5008021877848678,184766.0,13734.5,indirecta,27425.0,cele_pseudohuerfanas,1
180954,cele,informativa,Q9XUB2,841,0.0,15912.0,0.5802005469462169,216483.5,15912.0,indirecta,27425.0,cele_pseudohuerfanas,2
183549,cele,no informativa,Q9XUB2,8,0.0,14236.5,0.5191066545123063,187201.0,14236.5,indirecta,27425.0,cele_pseudohuerfanas,3
188754,cele,informativa,G5EF15,2,8.719094618168197e-05,10.5,0.0003828623518687,66.5,10.5,directa,27425.0,cele_pseudohuerfanas,1
197111,cele,no informativa,Q9XUB2,11,0.0,13782.5,0.5025524156791249,185455.0,13782.5,indirecta,27425.0,cele_pseudohuerfanas,0
