posicion,n,frac_acumulada
9909,1,0.8628048780487805
9912,1,0.8635670731707317
9919,1,0.864329268292683
9922,1,0.8650914634146342
9939,6,0.8696646341463414
9940,1,0.8704268292682927
9941,1,0.8711890243902439
9946,1,0.8719512195121951
9948,1,0.8727134146341463
9952,1,0.8734756097560976
9956,1,0.8742378048780488
9978,1,0.875
9991,1,0.8757621951219512
10007,1,0.8765243902439024
10012,1,0.8772865853658537
10015,1,0.8780487804878049
10027,1,0.8788109756097561
10128,1,0.8795731707317073
10177,1,0.8803353658536586
10438,1,0.8810975609756098
10477,1,0.881859756097561
10857,1,0.8826219512195121
10859,3,0.8849085365853658
10860,2,0.8864329268292683
10864,1,0.8871951219512195
10867,2,0.8887195121951219
10871,1,0.8894817073170732
10872,1,0.8902439024390244
10874,1,0.8910060975609756
10876,1,0.8917682926829268
10877,1,0.8925304878048781
10878,2,0.8940548780487805
10880,1,0.8948170731707317
10882,1,0.895579268292683
10904,1,0.8963414634146342
10916,1,0.8971036585365854
10917,1,0.8978658536585366
10921,1,0.8986280487804879
10935,1,0.899390243902439
10937,1,0.9001524390243902
10967,1,0.9009146341463414
10973,1,0.9016768292682928
10980,2,0.9032012195121952
11009,1,0.9039634146341464
11016,1,0.9047256097560976
11020,1,0.9054878048780488
11021,1,0.90625
11025,1,0.9070121951219512
11033,1,0.9077743902439024
11047,1,0.9085365853658536
11067,1,0.9092987804878048
11114,1,0.910060975609756
11142,1,0.9108231707317072
11184,1,0.9115853658536586
11221,1,0.9123475609756098
11280,1,0.913109756097561
11284,1,0.913871951219512
11376,1,0.9146341463414634
11390,1,0.9153963414634146
11522,1,0.9161585365853658
11531,1,0.916920731707317
11577,1,0.9176829268292684
11652,1,0.9184451219512196
11679,1,0.9192073170731708
13713,1,0.919969512195122
13714,1,0.9207317073170732
13715,1,0.9214939024390244
13716,1,0.9222560975609756
13717,1,0.9230182926829268
13719,1,0.923780487804878
13721,1,0.9245426829268292
13723,1,0.9253048780487804
13726,1,0.9260670731707316
13727,1,0.926829268292683
13728,1,0.9275914634146342
13729,2,0.9291158536585366
13730,2,0.930640243902439
13734,2,0.9321646341463414
13737,2,0.933689024390244
13741,1,0.9344512195121952
13755,1,0.9352134146341464
13758,1,0.9359756097560976
13761,1,0.9367378048780488
13764,1,0.9375
13770,1,0.9382621951219512
13771,1,0.9390243902439024
13772,1,0.9397865853658536
13774,1,0.9405487804878048
13775,1,0.941310975609756
13781,1,0.9420731707317072
13782,1,0.9428353658536586
13787,1,0.9435975609756098
13788,1,0.944359756097561
13797,1,0.945121951219512
13798,1,0.9458841463414634
13800,1,0.9466463414634146
13801,1,0.9474085365853658
13802,1,0.948170731707317
13807,1,0.9489329268292684
13808,1,0.9496951219512196
13811,1,0.9504573170731708
13814,1,0.951219512195122
13818,2,0.9527439024390244
13828,1,0.9535060975609756
13830,1,0.9542682926829268
13832,1,0.955030487804878
13833,1,0.9557926829268292
13839,1,0.9565548780487804
13840,1,0.9573170731707316
13841,1,0.958079268292683
13850,1,0.9588414634146342
13851,1,0.9596036585365854
13859,1,0.9603658536585366
13882,1,0.961128048780488
13893,1,0.961890243902439
13913,1,0.9626524390243902
13915,1,0.9634146341463414
13933,1,0.9641768292682928
13934,2,0.9657012195121952
13935,1,0.9664634146341464
13946,1,0.9672256097560976
13947,1,0.9679878048780488
13952,1,0.96875
13963,1,0.9695121951219512
13966,1,0.9702743902439024
13975,2,0.9717987804878048
13977,1,0.972560975609756
13978,1,0.9733231707317072
13980,1,0.9740853658536586
13981,1,0.9748475609756098
13983,1,0.975609756097561
13988,1,0.976371951219512
13989,1,0.9771341463414634
13992,3,0.979420731707317
13993,2,0.9809451219512196
14005,1,0.9817073170731708
14006,1,0.982469512195122
14021,2,0.9839939024390244
14023,1,0.9847560975609756
14024,1,0.9855182926829268
14028,1,0.986280487804878
14034,1,0.9870426829268292
14037,1,0.9878048780487804
14045,1,0.9885670731707316
14052,1,0.989329268292683
14053,1,0.9900914634146342
14077,1,0.9908536585365854
14090,1,0.9916158536585366
14093,1,0.992378048780488
14121,1,0.993140243902439
14177,1,0.9939024390243902
14200,1,0.9946646341463414
14236,1,0.9954268292682928
14258,1,0.996189024390244
14285,1,0.9969512195121952
14291,1,0.9977134146341464
14383,1,0.9984756097560976
14764,1,0.9992378048780488
15912,1,1.0
