drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets,archivo,grupo
2387953,sp21,informativa,102099,77,0.1176470588235294,2.0,9.210647508519848e-05,53.0,2.0,directa,21714.0,sp21_pseudohuerfanas,3
2388808,sp21,informativa,335638,127,0.003227259213153,379.0,0.0174541770286451,7300.5,379.0,indirecta,21714.0,sp21_pseudohuerfanas,3
2389431,sp21,informativa,113222,3,0.0135957066189624,15.5,0.0007138251819102,44.0,15.5,directa,21714.0,sp21_pseudohuerfanas,2
2389622,sp21,informativa,113222,2,0.0271914132379248,10.5,0.0004835589941972,20.0,10.5,directa,21714.0,sp21_pseudohuerfanas,2
2391374,sp21,informativa,19901,8,0.0033707865168539,24.5,0.0011283043197936,302.5,24.5,indirecta,21714.0,sp21_pseudohuerfanas,3
2391701,sp21,no informativa,137854,4,0.0,10880.5,0.5010822510822511,185863.0,10880.5,indirecta,21714.0,sp21_pseudohuerfanas,3
2392214,sp21,informativa,229182,4,0.000413029661908,73.0,0.0033618863406097,1387.5,73.0,indirecta,21714.0,sp21_pseudohuerfanas,3
2395295,sp21,informativa,162296,99,0.0144338200708407,36.5,0.0016809431703048,742.0,36.5,indirecta,21714.0,sp21_pseudohuerfanas,3
2397626,sp21,no informativa,293136,132,0.0,11577.0,0.5331583310306715,193864.0,11577.0,indirecta,21714.0,sp21_pseudohuerfanas,3
2398426,sp21,informativa,124268,2,0.1666666666666666,1.0,4.6053237542599246e-05,6.5,1.0,directa,21714.0,sp21_pseudohuerfanas,2
2398427,sp21,informativa,124268,2,0.1666666666666666,1.0,4.6053237542599246e-05,6.5,1.0,directa,21714.0,sp21_pseudohuerfanas,2
19546,sp25,no informativa,113545,10,0.0,3025.0,0.5008278145695364,184693.0,3025.0,indirecta,6040.0,sp25_pseudohuerfanas,2
83211,sp25,no informativa,38190,4,0.0,3025.0,0.5008278145695364,184441.0,3025.0,indirecta,6040.0,sp25_pseudohuerfanas,2
91680,sp25,no informativa,299120,358,0.0,3174.5,0.5255794701986755,196112.5,3174.5,indirecta,6040.0,sp25_pseudohuerfanas,2
92182,sp25,no informativa,113545,3,0.0,3021.0,0.5001655629139072,187465.0,3021.0,indirecta,6040.0,sp25_pseudohuerfanas,2
92592,sp25,no informativa,299120,9,0.0,3074.0,0.5089403973509934,188930.0,3074.0,indirecta,6040.0,sp25_pseudohuerfanas,3
92652,sp25,no informativa,317030,3,0.0,3029.5,0.5015728476821192,184744.0,3029.5,indirecta,6040.0,sp25_pseudohuerfanas,2
161110,sp25,no informativa,331805,12,0.0,3072.5,0.5086920529801324,186678.0,3072.5,indirecta,6040.0,sp25_pseudohuerfanas,2
195427,sp25,no informativa,376557,12,0.0,3057.0,0.5061258278145695,189731.0,3057.0,indirecta,6040.0,sp25_pseudohuerfanas,3
244355,sp25,no informativa,64896,2,0.0,3024.5,0.5007450331125828,184680.0,3024.5,indirecta,6040.0,sp25_pseudohuerfanas,2
275643,sp25,no informativa,324181,7,0.0,3080.0,0.5099337748344371,189509.0,3080.0,indirecta,6040.0,sp25_pseudohuerfanas,2
279042,sp25,no informativa,324181,2,0.0,3033.0,0.5021523178807947,185326.5,3033.0,indirecta,6040.0,sp25_pseudohuerfanas,3
349359,sp25,no informativa,113545,23,0.0,3047.0,0.5044701986754967,185997.0,3047.0,indirecta,6040.0,sp25_pseudohuerfanas,2
414353,sp25,no informativa,324181,11,0.0,3063.5,0.5072019867549669,190163.5,3063.5,indirecta,6040.0,sp25_pseudohuerfanas,3
438039,sp25,informativa,113545,1309,0.0748807539931726,27.0,0.0044701986754966,2718.5,27.0,indirecta,6040.0,sp25_pseudohuerfanas,2
557350,sp25,no informativa,116122,5,0.0,3074.5,0.509023178807947,186997.5,3074.5,indirecta,6040.0,sp25_pseudohuerfanas,2
655569,sp25,no informativa,57231,4,0.0,3058.5,0.5063741721854305,186617.0,3058.5,indirecta,6040.0,sp25_pseudohuerfanas,3
918213,sp25,no informativa,184809,6,0.0,3087.5,0.5111754966887417,187925.0,3087.5,indirecta,6040.0,sp25_pseudohuerfanas,2
924218,sp25,informativa,229560,42,0.0077160201973938,14.0,0.0023178807947019,795.0,14.0,indirecta,6040.0,sp25_pseudohuerfanas,2
1227391,sp25,no informativa,155297,3,0.0,3029.0,0.5014900662251656,184822.5,3029.0,indirecta,6040.0,sp25_pseudohuerfanas,0
1362991,sp25,no informativa,317030,21,0.0,3034.5,0.5024006622516556,184899.5,3034.5,indirecta,6040.0,sp25_pseudohuerfanas,3
1402249,sp25,informativa,229560,29,0.0042658927517768,14.0,0.0023178807947019,843.0,14.0,indirecta,6040.0,sp25_pseudohuerfanas,2
1573337,sp25,no informativa,184809,9,0.0,3090.0,0.5115894039735099,188490.5,3090.0,indirecta,6040.0,sp25_pseudohuerfanas,2
1620550,sp25,no informativa,376557,6,0.0,3029.0,0.5014900662251656,184620.5,3029.0,indirecta,6040.0,sp25_pseudohuerfanas,2
1620866,sp25,no informativa,87449,1167,0.0,3338.0,0.5526490066225166,210304.0,3338.0,indirecta,6040.0,sp25_pseudohuerfanas,2
1750574,sp25,informativa,55047,59,0.0661065600177442,4.0,0.0006622516556291,230.0,4.0,indirecta,6040.0,sp25_pseudohuerfanas,2
2279062,sp25,no informativa,60949,7,0.0,3027.0,0.501158940397351,184539.0,3027.0,indirecta,6040.0,sp25_pseudohuerfanas,2
2367516,sp25,no informativa,376557,9,0.0,3036.5,0.5027317880794702,186931.0,3036.5,indirecta,6040.0,sp25_pseudohuerfanas,2
2377616,sp25,informativa,231693,5,0.25,1.0,0.0001655629139072,4.5,1.0,indirecta,6040.0,sp25_pseudohuerfanas,3
2383297,sp25,no informativa,42448,2,0.0,3020.5,0.5000827814569536,184583.5,3020.5,indirecta,6040.0,sp25_pseudohuerfanas,3
2384937,sp25,no informativa,317030,31,0.0,3034.0,0.502317880794702,184980.0,3034.0,indirecta,6040.0,sp25_pseudohuerfanas,3
2389141,sp25,informativa,229560,5,0.0112983670833738,2.0,0.0003311258278145,55.0,2.0,indirecta,6040.0,sp25_pseudohuerfanas,1
2389641,sp25,no informativa,155297,32,0.0,3099.5,0.5131622516556291,188034.5,3099.5,indirecta,6040.0,sp25_pseudohuerfanas,3
2646,sp9,no informativa,185018,5,0.0,13947.0,0.5085505925250684,184970.0,13947.0,indirecta,27425.0,sp9_pseudohuerfanas,2
36102,sp9,no informativa,311009,15,0.0,13761.5,0.5017866909753874,184822.5,13761.5,indirecta,27425.0,sp9_pseudohuerfanas,2
73040,sp9,no informativa,236580,21,0.0,13992.5,0.5102096627164996,187601.0,13992.5,indirecta,27425.0,sp9_pseudohuerfanas,3
73292,sp9,no informativa,236580,3,0.0,13988.0,0.510045578851413,186283.0,13988.0,indirecta,27425.0,sp9_pseudohuerfanas,2
83211,sp9,no informativa,23984,4,0.0,13719.0,0.5002370100273473,184441.0,13719.0,indirecta,27425.0,sp9_pseudohuerfanas,2
90805,sp9,no informativa,185648,2,0.0,13717.0,0.5001640838650866,184347.5,13717.0,indirecta,27425.0,sp9_pseudohuerfanas,2
117208,sp9,no informativa,185018,3,0.0,13966.0,0.5092433910665451,184958.0,13966.0,indirecta,27425.0,sp9_pseudohuerfanas,3
119853,sp9,no informativa,236580,2,0.0,13729.0,0.5006016408386509,184650.0,13729.0,indirecta,27425.0,sp9_pseudohuerfanas,2
124856,sp9,no informativa,236580,24,0.0,13730.0,0.5006381039197813,184669.5,13730.0,indirecta,27425.0,sp9_pseudohuerfanas,1
129615,sp9,no informativa,240045,3,0.0,13764.5,0.5018960802187785,185041.5,13764.5,indirecta,27425.0,sp9_pseudohuerfanas,2
132459,sp9,no informativa,355820,11,0.0,13850.5,0.5050319051959891,185568.0,13850.5,indirecta,27425.0,sp9_pseudohuerfanas,3
137196,sp9,no informativa,236580,3,0.0,13993.0,0.5102278942570647,186550.5,13993.0,indirecta,27425.0,sp9_pseudohuerfanas,3
165274,sp9,no informativa,185018,3,0.0,13781.5,0.5025159525979945,185281.0,13781.5,indirecta,27425.0,sp9_pseudohuerfanas,2
166887,sp9,no informativa,236580,3,0.0,13734.5,0.5008021877848678,184766.0,13734.5,indirecta,27425.0,sp9_pseudohuerfanas,1
180954,sp9,informativa,236580,841,0.0,15912.0,0.5802005469462169,216483.5,15912.0,indirecta,27425.0,sp9_pseudohuerfanas,2
