l,rho,lambda,lambda_suave
94,117.0,0.0,0.3825904530606372
95,118.0,1.0,0.3997733211986568
96,118.0,0.0,0.4056806609328678
97,118.0,0.0,0.4012242235440919
98,119.0,1.0,0.3879757866169864
99,119.0,0.0,0.3675071277362081
100,119.0,0.0,0.3413900244864142
101,119.0,0.0,0.3111962544522619
102,119.0,0.0,0.2784975952184082
103,119.0,0.0,0.2448658243695103
104,120.0,1.0,0.2118727194902251
105,121.0,1.0,0.1810900581652101
106,121.0,0.0,0.1540896179791221
107,121.0,0.0,0.1324431765166183
108,121.0,0.0,0.1177225113623558
109,121.0,0.0,0.1114994001009919
110,122.0,1.0,0.1153456203171833
111,122.0,0.0,0.1308329495955874
112,122.0,0.0,0.1587407372815014
113,122.0,0.0,0.1966786197627824
114,122.0,0.0,0.2414638051879277
115,122.0,0.0,0.2899135017054345
116,122.0,0.0,0.3388449174638004
117,122.0,0.0,0.3850752606115226
118,123.0,1.0,0.4254217392970982
119,123.0,0.0,0.4567015616690247
120,123.0,0.0,0.4765422214539264
121,124.0,1.0,0.4858123546909368
122,125.0,1.0,0.4861908829973166
123,127.0,2.0,0.4793567279903266
124,127.0,0.0,0.4669888112872268
125,127.0,0.0,0.4507660545052785
126,127.0,0.0,0.4323673792617419
127,128.0,1.0,0.413214673626081
128,128.0,0.0,0.3937016914765719
129,129.0,1.0,0.3739651531436939
130,129.0,0.0,0.3541417789579265
131,129.0,0.0,0.334368289249749
132,129.0,0.0,0.3147814043496406
133,129.0,0.0,0.2955178445880808
134,130.0,1.0,0.276714330295549
135,130.0,0.0,0.2585075818025245
136,130.0,0.0,0.2410343194394867
137,130.0,0.0,0.2244312635369148
138,130.0,0.0,0.2088351344252883
139,131.0,1.0,0.1943826524350866
140,131.0,0.0,0.1812105378967889
141,131.0,0.0,0.1694555111408746
142,131.0,0.0,0.1592542924978231
143,131.0,0.0,0.1507012328326611
144,132.0,1.0,0.1437212051486043
145,132.0,0.0,0.138196712983416
146,133.0,1.0,0.1340102598748593
147,133.0,0.0,0.1310443493606974
148,133.0,0.0,0.1291814849786934
149,133.0,0.0,0.1283041702666105
150,133.0,0.0,0.1282949087622119
151,133.0,0.0,0.1290362040032606
152,133.0,0.0,0.13041055952752
153,133.0,0.0,0.132300478872753
154,133.0,0.0,0.134588465576723
155,133.0,0.0,0.1371570231771929
156,133.0,0.0,0.1398886552119261
157,133.0,0.0,0.1426658652186857
158,134.0,1.0,0.1453711567352348
159,134.0,0.0,0.1479065313894137
160,134.0,0.0,0.1502519831693715
161,134.0,0.0,0.1524070041533345
162,134.0,0.0,0.1543710864195288
163,134.0,0.0,0.1561437220461806
164,134.0,0.0,0.1577244031115162
165,134.0,0.0,0.1591126216937617
166,134.0,0.0,0.1603078698711435
167,134.0,0.0,0.1613096397218876
168,134.0,0.0,0.1621174233242204
169,135.0,1.0,0.162730712756368
170,135.0,0.0,0.1631490000965566
171,136.0,1.0,0.1633717774230126
172,136.0,0.0,0.163398536813962
173,136.0,0.0,0.1632287703476311
174,136.0,0.0,0.1628619701022461
175,136.0,0.0,0.1622976281560332
176,136.0,0.0,0.1615352365872187
177,136.0,0.0,0.1605742874740288
178,136.0,0.0,0.1594142728946896
179,137.0,1.0,0.1580546849274274
180,137.0,0.0,0.1564950156504685
181,137.0,0.0,0.1547347571420389
182,138.0,1.0,0.152773401480365
183,138.0,0.0,0.150610440743673
184,139.0,1.0,0.1482453670101889
185,139.0,0.0,0.1456776723581392
186,139.0,0.0,0.14290684886575
187,139.0,0.0,0.1399323886112475
188,139.0,0.0,0.1367537836728579
189,139.0,0.0,0.1333705261288075
190,139.0,0.0,0.1297880759050513
191,139.0,0.0,0.1260357643184593
192,139.0,0.0,0.1221488905336309
193,139.0,0.0,0.1181627537151649
194,139.0,0.0,0.1141126530276603
195,139.0,0.0,0.1100338876357162
196,140.0,1.0,0.1059617567039316
197,140.0,0.0,0.1019315593969055
198,140.0,0.0,0.097978594879237
199,140.0,0.0,0.0941381623155251
200,140.0,0.0,0.0904455608703688
201,140.0,0.0,0.0869360897083671
202,140.0,0.0,0.083645047994119
203,140.0,0.0,0.0806077348922237
204,140.0,0.0,0.07785944956728
205,140.0,0.0,0.0754354911838871
206,140.0,0.0,0.0733711589066439
207,140.0,0.0,0.0717017519001494
208,140.0,0.0,0.0704625693290028
209,140.0,0.0,0.0696889103578031
210,140.0,0.0,0.0694160741511491
211,140.0,0.0,0.06967935987364
212,140.0,0.0,0.0705140666898749
213,140.0,0.0,0.0719554937644526
214,140.0,0.0,0.0740389402619723
215,140.0,0.0,0.0767997053470329
216,140.0,0.0,0.0802730881842336
217,140.0,0.0,0.0844943879381733
218,140.0,0.0,0.089498903773451
