ann,nombre
IPR023298,"P-type ATPase, transmembrane domain superfamily"
IPR023214,HAD superfamily
IPR023299,"P-type ATPase, cytoplasmic domain N"
IPR059000,"P-type ATPase, A domain"
IPR036412,HAD-like superfamily
IPR044492,"P-type ATPase, haloacid dehalogenase domain"
IPR018303,"P-type ATPase, phosphorylation site"
IPR001757,P-type ATPase
IPR000690,"Matrin/U1-C, C2H2-type zinc finger"
IPR024598,"Splicing factor SF3a60 /Prp9 subunit, C-terminal"
IPR051421,RNA Processing and DNA Damage Response Regulator
IPR015507,Ribosomal RNA large subunit methyltransferase E
IPR029063,S-adenosyl-L-methionine-dependent methyltransferase superfamily
IPR050082,Ribosomal RNA large subunit methyltransferase RlmE
IPR002877,"Ribosomal RNA methyltransferase, FtsJ domain"
IPR000727,Target SNARE coiled-coil homology domain
IPR005886,UDP-glucose 4-epimerase
IPR001509,NAD-dependent epimerase/dehydratase
IPR036188,FAD/NAD(P)-binding domain superfamily
IPR038299,"Alpha-glycerophosphate oxidase, C-terminal domain superfamily"
IPR000447,FAD-dependent glycerol-3-phosphate dehydrogenase
IPR006076,FAD dependent oxidoreductase
IPR031656,"Alpha-glycerophosphate oxidase, C-terminal"
IPR019734,Tetratricopeptide repeat
IPR041189,"Transcription factor IIB, C-terminal module 1"
IPR054332,"Transcription factor IIB, C-terminal module 2"
IPR002885,Pentatricopeptide repeat
IPR036013,Band 7/SPFH domain superfamily
IPR050710,Band 7/mec-2 domain-containing protein
IPR001107,Band 7 domain
IPR001611,Leucine-rich repeat
IPR046956,Receptor-like protein 23-like
IPR035892,C2 domain superfamily
IPR000008,C2 domain
IPR011611,Carbohydrate kinase PfkB
IPR029056,Ribokinase-like
IPR001805,Adenosine kinase
IPR047575,Sm domain
IPR027141,"Like-Sm (LSM) domain containing protein, LSm4/SmD1/SmD3"
IPR010920,LSM domain superfamily
IPR001163,"Sm domain, eukaryotic/archaea-type"
IPR037291,Domain of unknown function DUF4139
IPR011935,Conserved hypothetical protein CHP02231
IPR013320,Concanavalin A-like lectin/glucanase domain superfamily
IPR022742,Alpha/beta hydrolase domain-containing protein 17C-like
IPR000073,Alpha/beta hydrolase fold-1
IPR051044,Monoacylglycerol and Diacylglycerol Lipase
IPR004015,"SKI-interacting protein SKIP, SNW domain"
IPR045269,Serine/threonine-protein kinase Atg1-like
IPR052781,Cysteine protease inhibitor I42
IPR036331,Chagasin-like superfamily
IPR018990,"Proteinase inhibitor I42, chagasin"
IPR050886,RNA-binding_regulatory_proteins
IPR000504,RNA recognition motif domain
IPR012677,Nucleotide-binding alpha-beta plait domain superfamily
IPR035979,RNA-binding domain superfamily
IPR055270,"Fucosyltransferase, C-terminal"
IPR038577,"GT10-like, C-terminal domain superfamily"
IPR001503,Glycosyl transferase family 10
IPR036591,YggU-like superfamily
IPR003746,Protein of unknown function DUF167
IPR011107,Type 1 protein phosphatase inhibitor
IPR001753,Enoyl-CoA hydratase/isomerase-like domain
IPR018376,"Enoyl-CoA hydratase/isomerase, conserved site"
IPR002871,"NIF system FeS cluster assembly, NifU, N-terminal"
IPR013497,"DNA topoisomerase, type IA, central"
IPR013826,"DNA topoisomerase, type IA, central region, subdomain 3"
IPR023405,"DNA topoisomerase, type IA, core domain"
IPR003601,"DNA topoisomerase, type IA, domain 2"
IPR006171,TOPRIM domain
IPR013825,"DNA topoisomerase, type IA, central region, subdomain 2"
IPR003602,"DNA topoisomerase, type IA, DNA-binding domain"
IPR013824,"DNA topoisomerase, type IA, central region, subdomain 1"
IPR056452,"DNA topoisomerase 3-beta, zinc ribbon domain"
IPR000380,"DNA topoisomerase, type IA"
IPR034144,"DNA topoisomerase 3-like, TOPRIM domain"
IPR013922,Cyclin PHO80-like
IPR036915,Cyclin-like superfamily
IPR006121,"Heavy metal-associated domain, HMA"
IPR017969,"Heavy-metal-associated, conserved site"
IPR036163,Heavy metal-associated domain superfamily
IPR027256,"P-type ATPase, subfamily IB"
IPR035298,26S Proteasome non-ATPase regulatory subunit 13
IPR000717,Proteasome component (PCI) domain
IPR054179,"PSD13, N-terminal"
IPR029071,Ubiquitin-like domain superfamily
IPR018247,"EF-Hand 1, calcium-binding site"
IPR036069,DUF34/NIF3 superfamily
IPR002678,DUF34/NIF3
IPR052584,Pre-mRNA Spliceosomal U2 snRNP Complex Component
IPR006568,"PSP, proline-rich"
IPR007180,Domain of unknown function DUF382
IPR036769,"Large ribosomal subunit protein uL11, C-terminal domain superfamily"
IPR000911,Ribosomal protein uL11
IPR036796,"Large ribosomal subunit protein uL11, N-terminal domain superfamily"
IPR020783,"Large ribosomal subunit protein uL11, C-terminal"
IPR020784,"Large ribosomal subunit protein uL11, N-terminal"
IPR035994,Nucleoside phosphorylase superfamily
IPR000845,Nucleoside phosphorylase domain
IPR007192,Cdc23
IPR051570,TBC1 domain family involved in cilium biogenesis
IPR003591,"Leucine-rich repeat, typical subtype"
IPR051848,Polygalacturonase-Inhibiting Protein
IPR052054,Oxidative DNA damage repair enzyme
IPR003265,HhH-GPD domain
IPR023170,"Helix-hairpin-helix, base-excision DNA repair, C-terminal"
IPR011257,DNA glycosylase
IPR012904,"8-oxoguanine DNA glycosylase, N-terminal"
IPR001305,"Heat shock protein DnaJ, cysteine-rich domain"
IPR036410,"Heat shock protein DnaJ, cysteine-rich domain superfamily"
IPR044713,DnaJ homolog subfamily A member 1/2-like
IPR012724,Chaperone DnaJ
IPR001041,2Fe-2S ferredoxin-type iron-sulfur binding domain
IPR001055,Adrenodoxin-like
IPR036010,2Fe-2S ferredoxin-like superfamily
IPR012675,Beta-grasp domain superfamily
IPR008580,PPPDE peptidase domain
IPR042266,PPPDE peptidase domain superfamily
IPR051852,Alpha-type Protein Kinase
IPR004166,"Alpha-type protein kinase, alpha-kinase domain"
IPR007109,Brix domain
IPR044281,U3 snoRNP protein/Ribosome production factor 1
IPR050817,DjlA DnaK co-chaperone
IPR018149,"Lysyl-tRNA synthetase, class II, C-terminal"
IPR006195,"Aminoacyl-tRNA synthetase, class II"
IPR004364,"Aminoacyl-tRNA synthetase, class II (D/K/N)"
IPR012340,"Nucleic acid-binding, OB-fold"
IPR045864,Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL)
IPR004365,"OB-fold nucleic acid binding domain, AA-tRNA synthetase-type"
IPR002313,"Lysine-tRNA ligase, class II"
IPR006636,Heat shock chaperonin-binding
