AUC01,AUC,YoudenCutOff,N_targets,params,alpha,beta,lambda_,gamma
0.5753548241586519,0.8285802227903248,0.6512774168335693,6564,3 1 3 1,0.6,0.0,1.0,0.8
0.5752608487855697,0.8312904252990228,0.6611070403117689,6564,5 1 2 1,1.2,0.0,0.5,0.8
0.5752581637749102,0.8305930521406073,0.6600242076867548,6564,5 1 4 1,1.2,0.0,,0.8
0.5749474185412516,0.8298871755346768,0.6590824961056021,6564,5 1 1 1,1.2,0.0,0.0,0.8
0.5741197192552855,0.8281582165918544,0.6533508106318422,6564,4 1 4 3,0.9,0.0,,1.2
0.5740257438822032,0.8283138568200362,0.6535869169936874,6564,4 1 4 2,0.9,0.0,,1.0
0.5737169676563616,0.8285448972982558,0.6539641443993944,6564,4 1 4 1,0.9,0.0,,0.8
0.5736766924964692,0.8276409084576737,0.6525583616932353,6564,4 1 1 1,0.9,0.0,0.0,0.8
0.5734887417503047,0.829482628542274,0.6563252080178463,6564,4 1 2 1,0.9,0.0,0.5,0.8
0.5723476122200205,0.8235649980007852,0.6391312371430589,6564,2 1 3 1,0.3,0.0,1.0,0.8
0.5722804869535332,0.8268476453591983,0.6461319264650807,6564,3 1 2 1,0.6,0.0,0.5,0.8
0.5719717107276916,0.8251804721041691,0.6429241365834595,6564,3 1 4 3,0.6,0.0,,1.2
0.5719582856743941,0.8253705784334477,0.6431656706777611,6564,3 1 4 2,0.6,0.0,,1.0
0.5714615587023881,0.8256331902221208,0.6439689750812803,6564,3 1 4 1,0.6,0.0,,0.8
0.5711527824765464,0.8248084010442959,0.64506103485147,6564,3 1 1 1,0.6,0.0,0.0,0.8
0.5693430852920486,0.821719433272362,0.6319177807087533,6564,2 1 2 1,0.3,0.0,0.5,0.8
0.5684811968703516,0.8202555738289216,0.6290030883797675,6564,2 1 4 1,0.3,0.0,,0.8
0.5683872214972694,0.8198793415074984,0.6285254479236211,6564,2 1 4 2,0.3,0.0,,1.0
0.5680515951648328,0.8195170855971502,0.6280260965376494,6564,2 1 4 3,0.3,0.0,,1.2
0.5675011679796369,0.8187011164845663,0.6262349448270996,6564,2 1 1 1,0.3,0.0,0.0,0.8
0.5430460908929808,0.7361822596373913,0.4822876806756442,6564,1 1 4 3,0.0,0.0,,1.2
0.5428581401468163,0.7357181885123854,0.4732716742926306,6564,1 1 4 2,0.0,0.0,,1.0
0.5426970395072468,0.7418913747903537,0.47858271050103385,6564,1 1 2 1,0.0,0.0,0.5,0.8
0.5426164891874621,0.7379841311195423,0.47297586287376725,6564,1 1 4 1,0.0,0.0,,0.8
0.5420123617890763,0.7325886484403409,0.45841054282752314,6564,1 1 1 1,0.0,0.0,0.0,0.8
0.5412739838577159,0.7473760984373559,0.49129717377971005,6564,1 1 3 1,0.0,0.0,1.0,0.8
