params,AUC01,AUC,YoudenCutOff,N_targets,alpha,beta,lambda_,gamma
4 1 1 1,0.5315320193487835,0.8638195024277345,0.7215975857642591,2187,0.9,0.0,0.0,0.8
5 1 1 1,0.5314417731571728,0.8667222100099234,0.7331341371739655,2187,1.2,0.0,0.0,0.8
3 1 1 1,0.5313515269655621,0.858524490985866,0.7003509000464068,2187,0.6,0.0,0.0,0.8
4 1 4 1,0.5311710345823406,0.8640278150931346,0.717024758400026,2187,0.9,0.0,,0.8
3 1 4 1,0.5311710345823406,0.8589915234586194,0.6970291548275216,2187,0.6,0.0,,0.8
2 1 4 1,0.5311710345823406,0.8473076203637616,0.662251242262152,2187,0.3,0.0,,0.8
1 1 4 3,0.5311259114865353,0.7548125251344686,0.4970652791083152,2187,0.0,0.0,,1.2
5 1 4 1,0.5309905421991192,0.8668098068677745,0.7297554012282859,2187,1.2,0.0,,0.8
1 1 4 2,0.5309454191033138,0.7552455340428126,0.4962972612186549,2187,0.0,0.0,,1.0
5 1 4 3,0.5307198036242871,0.867046263101962,0.7318342058342222,2187,1.2,0.0,,1.2
2 1 4 3,0.5307198036242871,0.8469346678209551,0.6670656017542289,2187,0.3,0.0,,1.2
4 1 4 3,0.5307198036242871,0.8640196233043624,0.7203627866837097,2187,0.9,0.0,,1.2
3 1 4 3,0.5306295574326764,0.8588888496889181,0.6995964513774116,2187,0.6,0.0,,1.2
4 1 4 2,0.5304490650494549,0.8640474150785401,0.7191008491618294,2187,0.9,0.0,,1.0
2 1 1 1,0.5303588188578442,0.8459187855004734,0.6700264057034149,2187,0.3,0.0,0.0,0.8
3 1 4 2,0.5302685726662335,0.8588887994325454,0.6982965200376681,2187,0.6,0.0,,1.0
5 1 4 2,0.5302685726662335,0.8669396693351794,0.7315275414471845,2187,1.2,0.0,,1.0
2 1 4 2,0.5301783264746228,0.8472096204367339,0.6655512767279723,2187,0.3,0.0,,1.0
1 1 1 1,0.5296819724207639,0.7541991461040204,0.4870753173162252,2187,0.0,0.0,0.0,0.8
3 4 1 1,0.5280124178759656,0.9167909758048733,0.7721785142547679,2187,0.6,1.5,0.0,0.8
3 4 4 3,0.5268843404808317,0.9166839297307354,0.7659583835017574,2187,0.6,1.5,,1.2
3 4 4 2,0.5267038480976103,0.9166925738268629,0.7635077822495897,2187,0.6,1.5,,1.0
1 1 2 1,0.5258916323731139,0.7591826685470593,0.4937978107720915,2187,0.0,0.0,0.5,0.8
5 4 2 1,0.5257111399898924,0.9111722128092035,0.7755053856236822,2187,1.2,1.5,0.5,0.8
3 1 2 1,0.5253952783192549,0.858475541278725,0.6851886528749107,2187,0.6,0.0,0.5,0.8
4 1 2 1,0.5253952783192549,0.8632964340992706,0.7099117729272337,2187,0.9,0.0,0.5,0.8
2 1 2 1,0.5253050321276442,0.8470268380087339,0.6504243095302065,2187,0.3,0.0,0.5,0.8
