params,AUC01,AUC,YoudenCutOff,N_targets,alpha,beta,lambda_,gamma
2 2 4 2,0.577366545590426,0.7407044002678315,0.44724108556705877,6093,0.3,0.5,,1.0
5 2 2 1,0.5771996010380399,0.742919201700601,0.45095120383387255,6093,1.2,0.5,0.5,0.8
2 2 4 3,0.5771250087912291,0.7403316283901026,0.44537411090845436,6093,0.3,0.5,,1.2
3 2 1 1,0.5770468645326654,0.740420204539652,0.44485651721741126,6093,0.6,0.5,0.0,0.8
3 2 4 1,0.5769207681154376,0.7414069522781176,0.44680940908402,6093,0.6,0.5,,0.8
4 2 1 1,0.5766552552369085,0.7407022613877202,0.4446654507256449,6093,0.9,0.5,0.0,0.8
3 2 4 2,0.5766428231957734,0.7410001265737755,0.4463990551197563,6093,0.6,0.5,,1.0
4 2 4 1,0.5766081910811827,0.7414768393572296,0.4462280568809547,6093,0.9,0.5,,0.8
3 2 4 3,0.5765113987609163,0.7407250752591352,0.445226107542841,6093,0.6,0.5,,1.2
5 2 1 1,0.5763373501850243,0.7408020698445054,0.44811948972285975,6093,1.2,0.5,0.0,0.8
5 2 4 1,0.5762858460146073,0.741487717308881,0.4497228595170033,6093,1.2,0.5,,0.8
4 2 4 2,0.5762814059999162,0.7411449381898064,0.4459236883776594,6093,0.9,0.5,,1.0
4 2 4 3,0.5761837256767115,0.7409472587600079,0.4456329077539758,6093,0.9,0.5,,1.2
5 2 4 2,0.5761366615209856,0.7411702249023515,0.4493967504063301,6093,1.2,0.5,,1.0
5 2 4 3,0.5759812610067965,0.740963857387428,0.44865485217954815,6093,1.2,0.5,,1.2
1 2 3 1,0.5740667266719852,0.7268797575901882,0.4057769392778563,6093,0.0,0.5,1.0,0.8
2 3 2 1,0.570765131747668,0.7386090829494163,0.44871003987520064,6093,0.3,1.0,0.5,0.8
3 3 3 1,0.5707189555948803,0.7399475885146473,0.4508111441517244,6093,0.6,1.0,1.0,0.8
2 3 3 1,0.5706603474009575,0.7415334189820131,0.4536181910351351,6093,0.3,1.0,1.0,0.8
1 2 2 1,0.5704978428632624,0.7209795484566603,0.39043685032950615,6093,0.0,0.5,0.5,0.8
3 3 2 1,0.5704321306458339,0.7375640653865083,0.44704542010065484,6093,0.6,1.0,0.5,0.8
4 3 3 1,0.570159513743799,0.7391211114732563,0.4494187000580099,6093,0.9,1.0,1.0,0.8
4 3 2 1,0.5697616884274747,0.7370518201704043,0.44628993399426165,6093,0.9,1.0,0.5,0.8
5 3 3 1,0.5697030802335519,0.7386341070819238,0.44886222412684806,6093,1.2,1.0,1.0,0.8
5 3 2 1,0.5692972628907835,0.7369042807811679,0.44597281378856213,6093,1.2,1.0,0.5,0.8
3 3 4 1,0.5688399413775981,0.7357974702325375,0.44711879465055615,6093,0.6,1.0,,0.8
1 3 3 1,0.5688053092630073,0.7403423916223202,0.45269505139876776,6093,0.0,1.0,1.0,0.8
2 3 4 1,0.5686907568839764,0.7362769515783292,0.44609510470506475,6093,0.3,1.0,,0.8
3 3 4 2,0.5684057079408065,0.7354587649280255,0.4468198612991059,6093,0.6,1.0,,1.0
2 3 4 2,0.5683382197175014,0.7357487246704271,0.4455298489132309,6093,0.3,1.0,,1.0
1 3 2 1,0.5682893795558991,0.7362368711574565,0.4507181194374619,6093,0.0,1.0,0.5,0.8
4 3 4 1,0.56817393917393,0.7355860627104862,0.44587142730223084,6093,0.9,1.0,,0.8
2 3 4 3,0.5680780348566017,0.7354178100901351,0.44530429011168193,6093,0.3,1.0,,1.2
3 3 4 3,0.5680247546803083,0.7352222516952026,0.4466405012882353,6093,0.6,1.0,,1.2
5 3 4 1,0.5679528264423122,0.7356763494542605,0.4451176135502517,6093,1.2,1.0,,0.8
4 3 4 2,0.5678711301719955,0.7352986905286487,0.4458170757837854,6093,0.9,1.0,,1.0
1 2 4 1,0.5678364980574048,0.716259075741212,0.3789442217541952,6093,0.0,0.5,,0.8
3 3 1 1,0.5677095136372388,0.7348856164391419,0.446002916168009,6093,0.6,1.0,0.0,0.8
4 3 4 3,0.5676961935931654,0.7351222826312099,0.44574098365796155,6093,0.9,1.0,,1.2
5 3 4 2,0.5675931852523314,0.7354186207741344,0.44500075778559367,6093,1.2,1.0,,1.0
2 3 1 1,0.567492840920312,0.7349433585541884,0.44575457153757303,6093,0.3,1.0,0.0,0.8
4 3 1 1,0.5674857368968063,0.7349277924016729,0.4458452967645168,6093,0.9,1.0,0.0,0.8
5 3 1 1,0.5674315687175746,0.7351392662060638,0.44556538644452237,6093,1.2,1.0,0.0,0.8
5 3 4 3,0.567409368644119,0.7352856915421311,0.44500075778559367,6093,1.2,1.0,,1.2
1 2 4 2,0.5673836165589105,0.7151551994607678,0.3763830109695998,6093,0.0,0.5,,1.0
1 2 4 3,0.5669682531845561,0.7143356361772579,0.3755738004776661,6093,0.0,0.5,,1.2
1 3 4 1,0.5666936382759103,0.7322180785845969,0.43921859240019456,6093,0.0,1.0,,0.8
1 2 1 1,0.5662221087157133,0.7133288303831107,0.373613173971894,6093,0.0,0.5,0.0,0.8
1 3 4 2,0.5661226523866322,0.7313168095709659,0.43583249280103686,6093,0.0,1.0,,1.0
1 3 4 3,0.565753243164331,0.7307037310711341,0.43305450307556415,6093,0.0,1.0,,1.2
1 3 1 1,0.565167161225103,0.7298851212335858,0.430672025168934,6093,0.0,1.0,0.0,0.8
5 4 3 1,0.5638733409441106,0.7358776336236031,0.4523695694209995,6093,1.2,1.5,1.0,0.8
4 4 3 1,0.5631531705612107,0.7364982963526739,0.452840128144157,6093,0.9,1.5,1.0,0.8
5 4 2 1,0.562639016859979,0.7342295767859872,0.44954642612635665,6093,1.2,1.5,0.5,0.8
3 4 3 1,0.5620511589148747,0.7375127679543243,0.4556871024891951,6093,0.6,1.5,1.0,0.8
4 4 2 1,0.5618708943184151,0.7346771865237296,0.4506986783174023,6093,0.9,1.5,0.5,0.8
5 4 4 1,0.5616422335618224,0.7331245227193555,0.44908443821956956,6093,1.2,1.5,,0.8
1 1 3 1,0.5614677409844614,0.6996613686257899,0.35614417785489194,6093,0.0,0.0,1.0,0.8
5 4 4 2,0.5614002527611563,0.7328982144175049,0.4489077957846215,6093,1.2,1.5,,1.0
5 4 4 3,0.561220876167635,0.7327424203276719,0.44852461757958073,6093,1.2,1.5,,1.2
4 4 4 1,0.5609047471216273,0.7333815375896708,0.4477595154353087,6093,0.9,1.5,,0.8
5 4 1 1,0.5608035147866698,0.7325488784454548,0.44826101271511964,6093,1.2,1.5,0.0,0.8
4 4 4 2,0.5605459939345847,0.7330856940149724,0.4478682184721996,6093,0.9,1.5,,1.0
1 1 2 1,0.5605158018346851,0.6939190746169615,0.34462249212164275,6093,0.0,0.0,0.5,0.8
3 4 2 1,0.5603968094409632,0.7354345616768003,0.4498671000851857,6093,0.6,1.5,0.5,0.8
4 4 4 3,0.5603310972235345,0.7328859445367227,0.44785734816851086,6093,0.9,1.5,,1.2
4 4 1 1,0.559907815822981,0.7326083591972545,0.447751362707542,6093,0.9,1.5,0.0,0.8
2 4 3 1,0.559869335695658,0.7392216235425694,0.45788938420774805,6093,0.3,1.5,1.0,0.8
1 1 4 1,0.5598080634929204,0.6899316131961509,0.340531495137107,6093,0.0,0.0,,0.8
3 4 4 1,0.5595505426408355,0.733892120648644,0.44898785975217814,6093,0.6,1.5,,0.8
1 1 4 2,0.5595114705115536,0.6889542061689228,0.3404010514928375,6093,0.0,0.0,,1.0
3 4 4 2,0.559294797794627,0.7335649612178207,0.44897698944848896,6093,0.6,1.5,,1.0
1 1 4 3,0.5592388536095189,0.6885489967339377,0.34060298828829305,6093,0.0,0.0,,1.2
3 4 4 3,0.5590763490718238,0.7333525416154305,0.44897155429664437,6093,0.6,1.5,,1.2
1 1 1 1,0.5584748103314524,0.6870518316423477,0.33696603552707916,6093,0.0,0.0,0.0,0.8
3 4 1 1,0.5584556350180051,0.733038791611766,0.4488682864115978,6093,0.6,1.5,0.0,0.8
2 4 2 1,0.5581910101424143,0.7366973167251886,0.45147423267676023,6093,0.3,1.5,0.5,0.8
2 4 4 1,0.5572408469985145,0.7348077295915083,0.4494243442541559,6093,0.3,1.5,,0.8
2 4 4 2,0.5569113979084334,0.7343827425261245,0.4487510125583365,6093,0.3,1.5,,1.0
1 4 3 1,0.5568803178055955,0.7387285160773551,0.46839302419165163,6093,0.0,1.5,1.0,0.8
2 4 4 3,0.5566201329446959,0.7341044025877134,0.4490879919726989,6093,0.3,1.5,,1.2
2 4 1 1,0.5560553630759854,0.7337434085718616,0.4488624331711497,6093,0.3,1.5,0.0,0.8
1 4 2 1,0.5552046562611667,0.7354511959947112,0.4611646903269975,6093,0.0,1.5,0.5,0.8
1 4 4 1,0.553894851927286,0.7326059093000115,0.45553763581346973,6093,0.0,1.5,,0.8
1 4 4 2,0.553648875113398,0.7320081165274122,0.45314491473605534,6093,0.0,1.5,,1.0
1 4 4 3,0.5535227786961702,0.7316209639313177,0.4541232420680754,6093,0.0,1.5,,1.2
1 4 1 1,0.5529411367716334,0.7310353798558028,0.45518142432334985,6093,0.0,1.5,0.0,0.8
