params,AUC01,AUC,YoudenCutOff,N_targets,alpha,beta,lambda_,gamma
3 4 2 1,0.6776989360465453,0.8201249531285825,0.5612165699453913,21714,0.6,1.5,0.5,0.8
3 3 4 1,0.6776499775403704,0.8227953520602097,0.5655565187880511,21714,0.6,1.0,,0.8
3 3 4 3,0.6775010592469014,0.8222666201101514,0.564736192069847,21714,0.6,1.0,,1.2
3 3 4 2,0.6774593185455312,0.8224898905859862,0.564785085715303,21714,0.6,1.0,,1.0
4 4 4 1,0.6774363713736523,0.8196470357529604,0.5542782044824697,21714,0.9,1.5,,0.8
5 4 4 1,0.6774085215419061,0.8199856332520971,0.557070875045881,21714,1.2,1.5,,0.8
5 4 4 3,0.6773298747065349,0.8195818029557272,0.5555878278294166,21714,1.2,1.5,,1.2
5 4 4 2,0.6773002544698368,0.8197243418889811,0.5559382322885171,21714,1.2,1.5,,1.0
4 4 4 2,0.6772445548063444,0.8193786684678578,0.5534144167460826,21714,0.9,1.5,,1.0
2 4 3 1,0.6772250122593734,0.8208065940269376,0.5676914812772607,21714,0.3,1.5,1.0,0.8
4 4 4 3,0.6771972050989261,0.8192261121901162,0.5535318185227558,21714,0.9,1.5,,1.2
3 3 1 1,0.6770546380197351,0.8216875988396749,0.5627505668016108,21714,0.6,1.0,0.0,0.8
5 4 1 1,0.6770218242448733,0.8192214336775409,0.5559327996612442,21714,1.2,1.5,0.0,0.8
4 3 2 1,0.6770030988078801,0.8237936648542601,0.562340403442509,21714,0.9,1.0,0.5,0.8
4 4 1 1,0.6769208430701067,0.8187930402521963,0.5536622015773047,21714,0.9,1.5,0.0,0.8
3 4 4 1,0.6766545333098151,0.8188238876703161,0.5584404974089519,21714,0.6,1.5,,0.8
3 4 4 2,0.6764931540891833,0.8185423815311322,0.5582421464844614,21714,0.6,1.5,,1.0
4 3 3 1,0.6764802846070317,0.8252441238107162,0.5666511931835356,21714,0.9,1.0,1.0,0.8
3 4 4 3,0.6764676194023745,0.8183700156732797,0.5578048199889949,21714,0.6,1.5,,1.2
4 3 4 1,0.6762630862991416,0.8225542304513884,0.5599011537969876,21714,0.9,1.0,,0.8
3 4 1 1,0.6761860569224958,0.8178926122962327,0.5561315707889491,21714,0.6,1.5,0.0,0.8
4 3 4 2,0.6760652608307656,0.822265802214609,0.5595344514560687,21714,0.9,1.0,,1.0
4 3 4 3,0.6760628775933301,0.8220683742364644,0.5591731817424224,21714,0.9,1.0,,1.2
2 4 2 1,0.6758967999903254,0.8189112111508248,0.5581573404714253,21714,0.3,1.5,0.5,0.8
5 3 2 1,0.6757973168505182,0.8234848717688361,0.5588499404196865,21714,1.2,1.0,0.5,0.8
5 3 3 1,0.6756912140723133,0.8248011245718543,0.5609523671742891,21714,1.2,1.0,1.0,0.8
4 3 1 1,0.6755474173822825,0.8215553473815472,0.558480521765131,21714,0.9,1.0,0.0,0.8
2 4 4 1,0.6750696804152139,0.8173468508605447,0.5517985102775553,21714,0.3,1.5,,0.8
5 3 4 1,0.6750279631679265,0.8224035763435555,0.5574293083878294,21714,1.2,1.0,,0.8
2 4 4 2,0.6749375809687895,0.8170321261565306,0.5514628879672498,21714,0.3,1.5,,1.0
2 4 4 3,0.6748893033875963,0.8168193007320268,0.55217184582636,21714,0.3,1.5,,1.2
5 3 4 2,0.6748259092718123,0.822156710706865,0.5571440954560036,21714,1.2,1.0,,1.0
5 3 4 3,0.674757215898879,0.8219674616841451,0.5565736695923515,21714,1.2,1.0,,1.2
2 4 1 1,0.6746286453046518,0.8163090614752199,0.552500519776369,21714,0.3,1.5,0.0,0.8
5 3 1 1,0.6742924115240823,0.8214922043449433,0.555527888842323,21714,1.2,1.0,0.0,0.8
1 4 3 1,0.6732685657464665,0.8202000569495412,0.5590190722135131,21714,0.0,1.5,1.0,0.8
1 4 2 1,0.6726429318734011,0.8176510704841968,0.5500521607254485,21714,0.0,1.5,0.5,0.8
1 4 4 1,0.6721329190622061,0.8155138569063385,0.5460617759354602,21714,0.0,1.5,,0.8
1 4 4 3,0.6719827751037704,0.8147702247784051,0.5439135920522524,21714,0.0,1.5,,1.2
1 4 4 2,0.6719820941787886,0.8151061547374926,0.5449675217431902,21714,0.0,1.5,,1.0
1 4 1 1,0.6718019895211638,0.8141143776041531,0.5434352807361167,21714,0.0,1.5,0.0,0.8
5 2 2 1,0.6460027633569971,0.8204465511566046,0.5525535854394543,21714,1.2,0.5,0.5,0.8
5 2 4 2,0.645930585308951,0.8189774306752489,0.5506277190712199,21714,1.2,0.5,,1.0
5 2 4 1,0.6458854399826729,0.819264579543313,0.5510596129394136,21714,1.2,0.5,,0.8
5 2 4 3,0.6457259673519895,0.8187743824791107,0.5504321444893965,21714,1.2,0.5,,1.2
4 2 2 1,0.6456793724858971,0.820372389041064,0.5506195101012801,21714,0.9,0.5,0.5,0.8
4 2 4 1,0.645598089640451,0.8190490340533587,0.5490576297603282,21714,0.9,0.5,,0.8
4 2 4 2,0.6455075266179022,0.818788297958776,0.5484247286830384,21714,0.9,0.5,,1.0
4 2 4 3,0.6452668196369178,0.8185527102762167,0.5481259341830302,21714,0.9,0.5,,1.2
3 2 2 1,0.6449360531857125,0.8200487350187424,0.549236786402272,21714,0.6,0.5,0.5,0.8
3 2 4 1,0.6446012154674343,0.81855823669885,0.5466780189567477,21714,0.6,0.5,,0.8
5 2 1 1,0.6445747547226506,0.8181478857490271,0.5494651368348247,21714,1.2,0.5,0.0,0.8
3 2 4 2,0.6445596790435586,0.8181893207874261,0.5457381744385401,21714,0.6,0.5,,1.0
5 2 3 1,0.6444442622591827,0.821801447648097,0.5555143673031715,21714,1.2,0.5,1.0,0.8
4 2 1 1,0.6443751483735536,0.8178855738923902,0.5474685862830122,21714,0.9,0.5,0.0,0.8
3 2 4 3,0.6443298668622792,0.8179268063328106,0.5454855572703514,21714,0.6,0.5,,1.2
4 2 3 1,0.6442301113524793,0.8219388390919732,0.5534878772723277,21714,0.9,0.5,1.0,0.8
3 2 3 1,0.6436594962179247,0.8217763254987744,0.5536290655523919,21714,0.6,0.5,1.0,0.8
3 2 1 1,0.6431930626055502,0.8171656044579719,0.5445783085157814,21714,0.6,0.5,0.0,0.8
2 2 2 1,0.642859205087087,0.8192692280413731,0.5505925870810384,21714,0.3,0.5,0.5,0.8
2 2 4 1,0.6423814000275203,0.8174746676740339,0.545396279094533,21714,0.3,0.5,,0.8
2 2 4 2,0.6421118218273172,0.8169619222051978,0.5449752504808849,21714,0.3,0.5,,1.0
2 2 4 3,0.6418617180815871,0.816610384698144,0.5443151862672306,21714,0.3,0.5,,1.2
2 2 3 1,0.6415760019593209,0.8212019002009561,0.5540369328010719,21714,0.3,0.5,1.0,0.8
