target_id,druggable,score_b1,rank_b1,pct_b1,score_b0,rank_b0,pct_b0,quinasa,especie
198595,0,5.647193970668804e-05,8047.5,36.55672163918041,0.009566146073641637,7576.5,34.41688246785698,True,28
317844,0,5.647193970668804e-05,8047.5,36.55672163918041,0.009566146073641637,7576.5,34.41688246785698,True,28
38687,0,5.647193970668804e-05,8047.5,36.55672163918041,0.009566146073641637,7576.5,34.41688246785698,True,28
342637,0,5.647193970668804e-05,8047.5,36.55672163918041,0.009566146073641637,7576.5,34.41688246785698,True,28
144990,0,5.647193970668804e-05,8047.5,36.55672163918041,0.009566146073641637,7576.5,34.41688246785698,True,28
90226,0,5.6461040714604485e-05,8060.5,36.61578301758212,0.009541917614239896,7591.5,34.48503021216664,True,28
343452,0,5.6461040714604485e-05,8060.5,36.61578301758212,0.009541917614239896,7591.5,34.48503021216664,True,28
369540,0,5.6461040714604485e-05,8060.5,36.61578301758212,0.009541917614239896,7591.5,34.48503021216664,True,28
258088,0,5.6461040714604485e-05,8060.5,36.61578301758212,0.009541917614239896,7591.5,34.48503021216664,True,28
345310,0,5.6461040714604485e-05,8060.5,36.61578301758212,0.009541917614239896,7591.5,34.48503021216664,True,28
240921,0,5.6461040714604485e-05,8060.5,36.61578301758212,0.009541917614239896,7591.5,34.48503021216664,True,28
251721,0,5.6461040714604485e-05,8060.5,36.61578301758212,0.009541917614239896,7591.5,34.48503021216664,True,28
156667,0,5.6461040714604485e-05,8060.5,36.61578301758212,0.009541917614239896,7591.5,34.48503021216664,True,28
9180,0,5.6461040714604485e-05,8060.5,36.61578301758212,0.009541917614239896,7591.5,34.48503021216664,True,28
256860,0,5.6461040714604485e-05,8060.5,36.61578301758212,0.009541917614239896,7591.5,34.48503021216664,True,28
325831,0,5.6461040714604485e-05,8060.5,36.61578301758212,0.009541917614239896,7591.5,34.48503021216664,True,28
242618,0,5.6461040714604485e-05,8060.5,36.61578301758212,0.009541917614239896,7591.5,34.48503021216664,True,28
142926,0,5.228285685359544e-05,8085.0,36.72709099995457,0.008856530312337704,7622.0,34.62359729226296,True,28
366023,0,5.228285685359544e-05,8085.0,36.72709099995457,0.008856530312337704,7622.0,34.62359729226296,True,28
34381,0,5.228285685359544e-05,8085.0,36.72709099995457,0.008856530312337704,7622.0,34.62359729226296,True,28
92960,0,5.228285685359544e-05,8085.0,36.72709099995457,0.008856530312337704,7622.0,34.62359729226296,True,28
368169,0,5.228285685359544e-05,8085.0,36.72709099995457,0.008856530312337704,7622.0,34.62359729226296,True,28
321346,0,5.168957568132436e-05,8089.0,36.74526373177048,0.003246850844050719,8216.0,37.32224796692563,True,28
346277,0,5.168957568132436e-05,8089.0,36.74526373177048,0.003246850844050719,8216.0,37.32224796692563,True,28
202995,0,5.168957568132436e-05,8089.0,36.74526373177048,0.003246850844050719,8216.0,37.32224796692563,True,28
211998,0,4.6344703923646696e-05,8135.0,36.95425014765345,0.010195834863202273,7512.0,34.12384716732543,True,28
130902,0,4.6344703923646696e-05,8135.0,36.95425014765345,0.010195834863202273,7512.0,34.12384716732543,True,28
344299,0,4.6344703923646696e-05,8135.0,36.95425014765345,0.010195834863202273,7512.0,34.12384716732543,True,28
353994,0,4.6344703923646696e-05,8135.0,36.95425014765345,0.010195834863202273,7512.0,34.12384716732543,True,28
117664,0,4.6344703923646696e-05,8135.0,36.95425014765345,0.010195834863202273,7512.0,34.12384716732543,True,28
