target_id,score,druggable,de_la_especie
93387,1.0,0,False
342965,1.0,0,False
72023,1.0,0,False
96604,1.0,0,False
244857,1.0,0,False
385187,1.0,0,False
131028,1.0,0,False
223170,1.0,0,False
124399,1.0,0,False
398319,1.0,0,False
249290,1.0,0,False
319604,1.0,0,False
4417,1.0,0,False
317209,1.0,0,False
351502,1.0,0,False
104579,1.0,0,False
179239,1.0,0,False
93866,1.0,0,False
381748,1.0,0,False
37952,1.0,0,False
246891,1.0,0,False
153912,1.0,0,False
19871,1.0,0,False
188471,1.0,0,False
171892,1.0,0,False
51060,1.0,0,False
289009,1.0,0,False
202815,1.0,0,False
310394,1.0,0,False
284347,1.0,0,False
12844,1.0,0,False
115099,1.0,0,False
23012,1.0,0,False
99796,1.0,0,False
238126,1.0,0,False
291640,1.0,0,False
253994,1.0,0,False
375343,1.0,0,False
353211,1.0,0,False
24354,1.0,0,False
113841,1.0,0,False
209031,1.0,0,False
15543,1.0,0,False
6035,1.0,0,False
287229,1.0,0,False
3135,1.0,0,False
209812,1.0,0,False
217595,1.0,0,False
259613,1.0,0,False
299168,1.0,0,False
23567,1.0,0,False
42879,1.0,0,False
75210,1.0,0,False
251681,1.0,0,False
65214,1.0,0,False
19579,1.0,0,False
51231,1.0,0,False
107396,1.0,0,False
353094,1.0,0,False
54367,1.0,0,False
220360,1.0,0,False
289977,1.0,0,False
257402,1.0,0,False
101265,1.0,0,False
12223,1.0,0,False
234645,1.0,0,False
313054,1.0,0,False
6548,1.0,0,False
255515,1.0,0,False
370112,1.0,0,False
123776,1.0,0,False
241025,1.0,0,False
143856,1.0,0,False
203140,1.0,0,False
143422,1.0,0,False
159354,1.0,0,False
399260,1.0,0,False
110302,1.0,0,False
295546,1.0,0,False
267214,1.0,0,False
27894,1.0,0,False
21029,1.0,0,False
178898,1.0,0,False
260856,1.0,0,False
182587,1.0,0,False
196481,1.0,0,False
353627,1.0,0,False
397647,1.0,0,False
227796,1.0,0,False
60389,1.0,0,False
3539,1.0,0,False
240499,1.0,0,False
9931,1.0,0,False
159208,1.0,0,False
33019,1.0,0,False
291329,1.0,0,False
382208,1.0,0,False
390905,1.0,0,False
327151,1.0,0,False
110111,1.0,0,False
114187,1.0,0,False
22626,1.0,0,False
110466,1.0,0,False
306732,1.0,0,False
118499,1.0,0,False
86915,1.0,0,False
123935,1.0,0,False
102941,1.0,0,False
316900,1.0,0,False
7329,1.0,0,False
70357,1.0,0,False
262538,1.0,0,False
324201,1.0,0,False
128066,1.0,0,False
145967,1.0,0,False
155263,1.0,0,False
1085,1.0,0,False
139463,1.0,0,False
387678,1.0,0,False
163763,1.0,0,False
65899,1.0,0,False
316750,1.0,0,False
238014,1.0,0,False
14983,1.0,0,False
10901,1.0,0,False
183879,1.0,0,False
157676,1.0,0,False
277380,1.0,0,False
361157,1.0,0,False
124165,1.0,0,False
188001,1.0,0,False
222205,1.0,0,False
285098,1.0,0,False
129892,1.0,0,False
280745,1.0,0,False
101018,1.0,0,False
367112,1.0,0,False
219268,1.0,0,False
245910,1.0,0,False
294649,1.0,0,False
307334,1.0,0,False
358047,1.0,0,False
184422,1.0,0,False
275227,1.0,0,False
27568,1.0,0,False
175829,1.0,0,False
197209,1.0,0,False
49603,1.0,0,False
254475,1.0,0,False
297087,1.0,0,False
95446,1.0,0,False
74697,1.0,0,False
85934,1.0,0,False
3630,1.0,0,False
117014,1.0,0,False
89240,1.0,0,False
316568,1.0,0,False
139007,1.0,0,False
98007,1.0,0,False
357691,1.0,0,False
140020,1.0,0,False
142615,1.0,0,False
385504,1.0,0,False
334840,1.0,0,False
311333,1.0,0,False
266647,1.0,0,False
94045,1.0,0,False
297520,1.0,0,False
310442,1.0,0,False
145476,1.0,0,False
312666,1.0,0,False
128268,1.0,0,False
399119,1.0,0,False
386142,1.0,0,False
5738,1.0,0,False
96547,1.0,0,False
81333,1.0,0,False
115046,1.0,0,False
25711,1.0,0,False
212892,1.0,0,False
361019,1.0,0,False
199513,1.0,0,False
107310,1.0,0,False
293238,1.0,0,False
179273,1.0,0,False
146335,1.0,0,False
300331,1.0,0,False
15545,1.0,0,False
267304,1.0,0,False
347471,1.0,0,False
203832,1.0,0,False
122823,1.0,0,False
378291,1.0,0,False
308624,1.0,0,False
299268,1.0,0,False
357109,1.0,0,False
75690,1.0,0,False
194615,1.0,0,False
349052,1.0,0,False
78750,1.0,0,False
13655,1.0,0,False
288547,1.0,0,False
201099,1.0,0,False
312181,1.0,0,False
317939,1.0,0,False
70233,1.0,0,False
376991,1.0,0,False
309170,1.0,0,False
293364,1.0,0,False
212112,1.0,0,False
100283,1.0,0,False
72734,1.0,0,False
226713,1.0,0,False
366013,1.0,0,False
114349,1.0,0,False
101136,1.0,0,False
261494,1.0,0,False
212344,1.0,0,False
315749,1.0,0,False
199811,1.0,0,False
105266,1.0,0,False
214164,1.0,0,False
220533,1.0,0,False
345662,1.0,0,False
212172,1.0,0,False
205966,1.0,0,False
6883,1.0,0,False
146084,1.0,0,False
317473,1.0,0,False
308040,1.0,0,False
234754,1.0,0,False
332431,1.0,0,False
389111,1.0,0,False
22590,1.0,0,False
301137,1.0,0,False
11899,1.0,0,False
164184,1.0,0,False
80126,1.0,0,False
334292,1.0,0,False
231527,1.0,0,False
171559,1.0,0,False
35969,1.0,0,False
367767,1.0,0,False
303524,1.0,0,False
130420,1.0,0,False
294630,1.0,0,False
207961,1.0,0,False
109191,1.0,0,False
82216,1.0,0,False
160471,1.0,0,False
391853,1.0,0,False
266425,1.0,0,False
329486,1.0,0,False
273558,1.0,0,False
52630,1.0,0,False
135436,1.0,0,False
354608,1.0,0,False
156978,1.0,0,False
113458,1.0,0,False
111087,1.0,0,False
235367,1.0,0,False
197454,1.0,0,False
113937,1.0,0,False
149557,1.0,0,False
119032,1.0,0,False
206116,1.0,0,False
372319,1.0,0,False
4748,1.0,0,False
65384,1.0,0,False
266483,1.0,0,False
346672,1.0,0,False
351148,1.0,0,False
363029,1.0,0,False
40513,1.0,0,False
22986,1.0,0,False
